idx,sentence,pos,DT,ADJ,NUMERAL,NOUN
2664595,"an estimated 182,000 Canadians",ARTICLE VBN CD NNPS,an,estimated,"182,000",Canadians
2664668,"an estimated 2,250 students",ARTICLE VBN CD NNS,an,estimated,"2,250",students
2664684,"an estimated 34,000 students",ARTICLE VBN CD NNS,an,estimated,"34,000",students
2664698,an estimated 850 students,ARTICLE VBN CD NNS,an,estimated,850,students
2675129,a record seven editions,ARTICLE RECORD CD NNS,a,record,seven,editions
2675929,a half - dozen good ones,ARTICLE JJ HYPH FEW JJ NNS,a,half -,dozen,good ones
2679776,A co - ed high school and two primary schools,ARTICLE JJ JJ JJ JJ NN CC CD JJ NNS,A,co - ed high school and,two,primary schools
2684207,an extra six hundred meetings,ARTICLE JJ CD CD NNS,an,extra,six hundred,meetings
2685489,a further 3 invitational places,ARTICLE JJ CD JJ NNS,a,further,3,invitational places
2687188,an estimated 150 radio stations,ARTICLE VBN CD NN NNS,an,estimated,150,radio stations
2687200,An estimated 150 radio stations,ARTICLE VBN CD NN NNS,An,estimated,150,radio stations
2688110,a further 13 appearances,ARTICLE JJ CD NNS,a,further,13,appearances
2697858,a further 20 francs,ARTICLE JJ CD NNS,a,further,20,francs
2698643,an astonishing 26 million shells,ARTICLE JJ CD CD NNS,an,astonishing,26 million,shells
2699241,an astonishing 340 million marks-,ARTICLE JJ CD CD NNS,an,astonishing,340 million,marks-
2702790,an old lady and three children,ARTICLE JJ NN CC CD NNS,an,old lady and,three,children
2703646,a solid runway and more Hangars,ARTICLE JJ NN CC FEW NNPS,a,solid runway and,more,Hangars
2712641,a great many young men,ARTICLE JJ FEW JJ NNS,a,great,many,young men
2713089,a full 90 degrees,ARTICLE JJ CD NNS,a,full,90,degrees
2715936,an extra 22 Marks,ARTICLE JJ CD NNS,an,extra,22,Marks
2719153,a further ten masks,ARTICLE JJ CD NNS,a,further,ten,masks
2721584,a quick 10 days,ARTICLE JJ CD NNS,a,quick,10,days
2723061,a good many miles,ARTICLE JJ FEW NNS,a,good,many,miles
2723702,a mere three hundred pages,ARTICLE JJ CD CD NNS,a,mere,three hundred,pages
2724315,a further six lengths,ARTICLE JJR CD NNS,a,further,six,lengths
2725378,a whole six months,ARTICLE JJ CD NNS,a,whole,six,months
2727868,a late substitute four months,ARTICLE JJ NN CD NNS,a,late substitute,four,months
2732333,a record eight times,ARTICLE RECORD CD NNS,a,record,eight,times
2734879,a - very - many -,ARTICLE JJ RB JJ FEW NNS,a,- very -,many,-
2735040,a total area 43.2 square miles,ARTICLE JJ NN CD JJ NNS,a,total area,43.2,square miles
2735720,a very tight formation several lines,ARTICLE RB JJ NN FEW NNS,a,very tight formation,several,lines
2744118,a team - best 7.3 yards,ARTICLE NN HYPH JJ CD NNS,a,team - best,7.3,yards
2744152,a career - high three touchdowns,ARTICLE NN HYPH JJ CD NNS,a,career - high,three,touchdowns
2747034,a personal best three sacks,ARTICLE JJ JJS CD NNS,a,personal best,three,sacks
2749270,a team - high 643 yards,ARTICLE NN HYPH JJ CD NNS,a,team - high,643,yards
2750640,a relatively new concept and many more studies,ARTICLE RB JJ NN CC FEW FEW NNS,a,relatively new concept and,many more,studies
2760341,an estimated 18 months,ARTICLE VBN CD NNS,an,estimated,18,months
2760729,a school - record 22 wins,ARTICLE NN HYPH RECORD CD NNS,a,school - record,22,wins
2760870,a school - record 28 wins,ARTICLE NN HYPH RECORD CD NNS,a,school - record,28,wins
2762857,a career - best 22 tackles,ARTICLE NN HYPH JJ CD NNS,a,career - best,22,tackles
2762897,a career - high 25 tackles,ARTICLE NN HYPH JJ CD NNS,a,career - high,25,tackles
2764042,a great two years,ARTICLE JJ CD NNS,a,great,two,years
2771018,"a single , two - dimensional array of data","ARTICLE JJ , CD HYPH JJ NN IN NNS",a,"single ,",two -,dimensional array of data
2772233,a school and league record 19 consecutive weeks,ARTICLE NN CC NN RECORD CD JJ NNS,a,school and league record,19,consecutive weeks
2777372,A little dyestuff and three yards,ARTICLE JJ NN CC CD NNS,A,little dyestuff and,three,yards
2778592,An extra 4 or 5 days,ARTICLE JJ CD CC CD NNS,An,extra,4 or 5,days
2781666,an additional 2000 copies,ARTICLE JJ CD NNS,an,additional,2000,copies
2782669,a further two goals,ARTICLE JJ CD NNS,a,further,two,goals
2789896,An annual 7 days,ARTICLE JJ CD NNS,An,annual,7,days
2801568,an initial 19 rivers,ARTICLE JJ CD NNS,an,initial,19,rivers
2801569,a further three wild river areas,ARTICLE JJ CD JJ NN NNS,a,further,three,wild river areas
2802223,a good five minutes,ARTICLE JJ CD NNS,a,good,five,minutes
2803064,a sudden war three years,ARTICLE JJ NN CD NNS,a,sudden war,three,years
2811898,a good 5000 miles,ARTICLE JJ CD NNS,a,good,5000,miles
2814123,a further 20 engines,ARTICLE JJ CD NNS,a,further,20,engines
2814369,A full 20 engines,ARTICLE JJ CD NNS,A,full,20,engines
2817693,a great many deliverances,ARTICLE JJ FEW NNS,a,great,many,deliverances
2818355,a long hundred yards,ARTICLE JJ CD NNS,a,long,hundred,yards
2826802,a tiny voice two feet,ARTICLE JJ NN CD NNS,a,tiny voice,two,feet
2840408,"An estimated 41,000 people",ARTICLE VBN CD NNS,An,estimated,"41,000",people
2841611,a good few thousands,ARTICLE JJ FEW NNS,a,good,few,thousands
2841992,"an additional 2,894 acres",ARTICLE JJ CD NNS,an,additional,"2,894",acres
2842877,an additional two weeks,ARTICLE JJ CD NNS,an,additional,two,weeks
2843283,a silvery speck six thousand feet,ARTICLE JJ NN CD CD NNS,a,silvery speck,six thousand,feet
2846076,a thin town eighty miles,ARTICLE JJ NN CD NNS,a,thin town,eighty,miles
2847692,a trifling ten thousand pounds,ARTICLE JJ CD CD NNS,a,trifling,ten thousand,pounds
2854058,a great many other questions,ARTICLE JJ FEW JJ NNS,a,great,many,other questions
2855901,a good about erm eight or nine years,ARTICLE JJ RB UH CD CC CD NNS,a,good about erm,eight or nine,years
2862795,an estimated 10 times,ARTICLE VBN CD NNS,an,estimated,10,times
2872487,"an estimated 80,000 people",ARTICLE VBN CD NNS,an,estimated,"80,000",people
2872524,"an estimated 20,000 Christians",ARTICLE VBN CD NNPS,an,estimated,"20,000",Christians
2872714,an additional 200 cannons,ARTICLE JJ CD NNS,an,additional,200,cannons
2873628,a long sixty miles,ARTICLE JJ CD NNS,a,long,sixty,miles
2874117,a further two million pounds,ARTICLE JJ CD CD NNS,a,further,two million,pounds
2877987,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
2879622,An additional approximately 600 deaths,ARTICLE JJ RB CD NNS,An,additional approximately,600,deaths
2881601,an overall 27 seasons,ARTICLE JJ CD NNS,an,overall,27,seasons
2883916,a great many howlings,ARTICLE JJ FEW NNS,a,great,many,howlings
2884803,a bare six inches,ARTICLE JJ CD NNS,a,bare,six,inches
2888078,an anti - tetanus injection 2 weeks,ARTICLE JJ JJ JJ NN CD NNS,an,anti - tetanus injection,2,weeks
2892372,a secret location several miles,ARTICLE JJ NN FEW NNS,a,secret location,several,miles
2900203,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
2903534,"an estimated 30,000 Central",ARTICLE VBN CD NNPS,an,estimated,"30,000",Central
2905044,"a bricked wall 0,5 metres",ARTICLE JJ NN CD NNS,a,bricked wall,"0,5",metres
2905063,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
2914788,"an approximate 25,000 homes",ARTICLE JJ CD NNS,an,approximate,"25,000",homes
2916162,a busy and well developed shopping district and several shopping malls,ARTICLE JJ CC RB VBN NN NN CC FEW NN NNS,a,busy and well developed shopping district and,several,shopping malls
2916350,an estimated 86 billion neurons,ARTICLE VBN CD CD NNS,an,estimated,86 billion,neurons
2918043,a quick 2 minutes,ARTICLE JJ CD NNS,a,quick,2,minutes
2918434,"an estimated 45,000 vehicles",ARTICLE VBN CD NNS,an,estimated,"45,000",vehicles
2918996,a fast pace and many articles,ARTICLE JJ NN CC FEW NNS,a,fast pace and,many,articles
2919092,a national total 160 students,ARTICLE JJ NN CD NNS,a,national total,160,students
2919097,an additional 4–6 years,ARTICLE JJ CD NNS,an,additional,4–6,years
2919800,an additional 1 to 7 years,ARTICLE JJ CD TO CD NNS,an,additional,1 to 7,years
2921877,a normalized vector formula_82 and projection operators,ARTICLE VBN NN CD CC NN NNS,a,normalized vector,formula_82 and,projection operators
2921894,a normalized vector formula_97 and projection operators,ARTICLE VBN NN CD CC NN NNS,a,normalized vector,formula_97 and,projection operators
2930806,a further two days,ARTICLE JJ CD NNS,a,further,two,days
2935825,an extra four hours,ARTICLE JJ CD NNS,an,extra,four,hours
2940717,"An estimated 300,000 people",ARTICLE VBN CD NNS,An,estimated,"300,000",people
2941245,a large lion costume and 4 people,ARTICLE JJ NN NN CC CD NNS,a,large lion costume and,4,people
2948170,a great many little birds,ARTICLE JJ FEW JJ NNS,a,great,many,little birds
2949990,a good many times,ARTICLE JJ FEW NNS,a,good,many,times
2950863,a further seven islands,ARTICLE JJ CD NNS,a,further,seven,islands
2950899,a great many other things,ARTICLE JJ FEW JJ NNS,a,great,many,other things
2950915,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
2954133,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
2961059,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
2965642,a short ten minutes,ARTICLE JJ CD NNS,a,short,ten,minutes
2965907,a good six months,ARTICLE JJ CD NNS,a,good,six,months
2971706,a good many members,ARTICLE JJ FEW NNS,a,good,many,members
2972841,a professional recruitment consultant and two people,ARTICLE JJ NN NN CC CD NNS,a,professional recruitment consultant and,two,people
2981168,a great many times,ARTICLE JJ FEW NNS,a,great,many,times
2982195,a great many voices,ARTICLE JJ FEW NNS,a,great,many,voices
2983814,an additional thousand tanks,ARTICLE JJ CD NNS,an,additional,thousand,tanks
2984298,a full six months,ARTICLE JJ CD NNS,a,full,six,months
2984556,a great many questions,ARTICLE JJ FEW NNS,a,great,many,questions
2985474,a resounding 83 % of people,ARTICLE JJ CD NN IN NNS,a,resounding,83,% of people
2987162,an estimated 170 million people,ARTICLE VBN CD CD NNS,an,estimated,170 million,people
3010741,a great many other busybodies,ARTICLE JJ FEW JJ NNS,a,great,many,other busybodies
3015957,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
3016689,A great many little lives,ARTICLE JJ FEW JJ NNS,A,great,many,little lives
3020125,a further twenty feet,ARTICLE JJ CD NNS,a,further,twenty,feet
3022166,a long four miles,ARTICLE JJ CD NNS,a,long,four,miles
3027052,an amazing six years,ARTICLE JJ CD NNS,an,amazing,six,years
3029129,an amazing six years,ARTICLE JJ CD NNS,an,amazing,six,years
3030420,a vigorous six months,ARTICLE JJ CD NNS,a,vigorous,six,months
3041113,a similar drought seven years,ARTICLE JJ NN CD NNS,a,similar drought,seven,years
3041689,"an important industrial city and 219,022 people",ARTICLE JJ JJ NN CC CD NNS,an,important industrial city and,"219,022",people
3042776,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
3046396,a nice house three chimneys,ARTICLE JJ NN CD NNS,a,nice house,three,chimneys
3047539,a new 50 inches,ARTICLE JJ CD NNS,a,new,50,inches
3047940,a great many young people,ARTICLE JJ FEW JJ NNS,a,great,many,young people
3052552,a pole - like object four hundred yards,ARTICLE NN HYPH JJ NN CD CD NNS,a,pole - like object,four hundred,yards
3055516,a bare five hundred feet,ARTICLE JJ CD CD NNS,a,bare,five hundred,feet
3056142,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people
3059131,an average 2 or 3 days,ARTICLE JJ CD CC CD NNS,an,average,2 or 3,days
3060350,a great many other boys,ARTICLE JJ FEW JJ NNS,a,great,many,other boys
3063444,a good many corners,ARTICLE JJ FEW NNS,a,good,many,corners
3063524,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
3067838,a great many times,ARTICLE JJ FEW NNS,a,great,many,times
3069414,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people
3073969,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
3075164,An estimated 432 species,ARTICLE VBN CD NNS,An,estimated,432,species
3076813,a great many other matters,ARTICLE JJ FEW JJ NNS,a,great,many,other matters
3084801,A good many years,ARTICLE JJ FEW NNS,A,good,many,years
3091117,a great many travelers,ARTICLE JJ FEW NNS,a,great,many,travelers
3094636,A long time and two arms,ARTICLE JJ NN CC CD NNS,A,long time and,two,arms
3098980,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
3100477,a good many days,ARTICLE JJ FEW NNS,a,good,many,days
3103584,"a millionth , six noughts","ARTICLE JJ , CD NNS",a,"millionth ,",six,noughts
3105847,an additional 349 migrant arrivals,ARTICLE JJ CD NN NNS,an,additional,349,migrant arrivals
3109991,a good rest and two square meals,ARTICLE JJ NN CC CD JJ NNS,a,good rest and,two,square meals
3110159,a great many other Ducks,ARTICLE JJ FEW JJ NNPS,a,great,many,other Ducks
3110793,a good many young Ducks,ARTICLE JJ FEW JJ NNPS,a,good,many,young Ducks
3111372,a good many things,ARTICLE JJ FEW NNS,a,good,many,things
3117296,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
3118218,a good many years,ARTICLE JJ FEW NNS,a,good,many,years
3118943,a further two meetings,ARTICLE JJ CD NNS,a,further,two,meetings
3120668,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people
3122690,an inside leaden shell three inches,ARTICLE JJ JJ NN CD NNS,an,inside leaden shell,three,inches
3130982,an extra few pints,ARTICLE JJ FEW NNS,an,extra,few,pints
3141335,an extra few seconds,ARTICLE JJ FEW NNS,an,extra,few,seconds
3142775,an additional thirty two bytes,ARTICLE JJ CD CD NNS,an,additional,thirty two,bytes
3144205,an extra three characters,ARTICLE JJ CD NNS,an,extra,three,characters
3165923,a great many inventions,ARTICLE JJ FEW NNS,a,great,many,inventions
3174479,A certain fourteen points,ARTICLE JJ CD NNS,A,certain,fourteen,points
3179698,"a very diverse , ninety six people","ARTICLE RB JJ , CD CD NNS",a,"very diverse ,",ninety six,people
3180838,an international outcry two months,ARTICLE JJ NN CD NNS,an,international outcry,two,months
3196906,an estimated 37.7 million items,ARTICLE VBN CD CD NNS,an,estimated,37.7 million,items
3198839,a clenched fist several times,ARTICLE VBN NN FEW NNS,a,clenched fist,several,times
3202863,a further 44 cases,ARTICLE JJ CD NNS,a,further,44,cases
3213927,a mere 20 years,ARTICLE JJ CD NNS,a,mere,20,years
3221920,a good two hundred pounds,ARTICLE JJ CD CD NNS,a,good,two hundred,pounds
3222942,a good many weeks,ARTICLE JJ FEW NNS,a,good,many,weeks
3231860,an extra hundred pounds,ARTICLE JJ CD NNS,an,extra,hundred,pounds
3245595,a magical two minutes,ARTICLE JJ CD NNS,a,magical,two,minutes
3253458,an orbital inclination 30.7 degrees,ARTICLE JJ NN CD NNS,an,orbital inclination,30.7,degrees
3254862,an estimated 300 million gamers,ARTICLE VBN CD CD NNS,an,estimated,300 million,gamers
3254865,an estimated 300 million gamers,ARTICLE VBN CD CD NNS,an,estimated,300 million,gamers
3264754,A really fun twenty two minutes,ARTICLE RB JJ CD CD NNS,A,really fun,twenty two,minutes
3290966,a good ten feet,ARTICLE JJ CD NNS,a,good,ten,feet
3294087,a possible 107 seats,ARTICLE JJ CD NNS,a,possible,107,seats
3311783,an illustrious 11 years,ARTICLE JJ CD NNS,an,illustrious,11,years
3314066,a record 650 bills,ARTICLE RECORD CD NNS,a,record,650,bills
3315146,an American Grade I stakes,ARTICLE JJ NN CD NNS,an,American Grade,I,stakes
3329320,an estimated 42 billion tons,ARTICLE VBN CD CD NNS,an,estimated,42 billion,tons
3333566,"an estimated 100,000 commuters",ARTICLE VBN CD NNS,an,estimated,"100,000",commuters
3333614,"an estimated 100,000 commuters",ARTICLE VBN CD NNS,an,estimated,"100,000",commuters
3335006,a goody - four - shoes,ARTICLE JJ HYPH CD HYPH NNS,a,goody -,four -,shoes
3350713,a further two series,ARTICLE JJ CD NNS,a,further,two,series
3353761,a partial hysterectomy four years,ARTICLE JJ NN CD NNS,a,partial hysterectomy,four,years
3354595,an extra twenty minutes,ARTICLE JJ CD NNS,an,extra,twenty,minutes
3366129,an additional 30 - minutes,ARTICLE JJ CD HYPH NNS,an,additional,30 -,minutes
3367506,a further 270 redundancies,ARTICLE JJR CD NNS,a,further,270,redundancies
3371739,a long time   15 years,ARTICLE JJ NN CD CD NNS,a,long time,15 years,
3388110,a whole twenty - four hours,ARTICLE JJ CD HYPH CD NNS,a,whole,twenty - four,hours
3394575,a unanimous 151 presbyteries,ARTICLE JJ CD NNS,a,unanimous,151,presbyteries
3401794,an operational plan and more people,ARTICLE JJ NN CC FEW NNS,an,operational plan and,more,people
3417706,a nice color-- minus 2 times,ARTICLE JJ NN CC CD NNS,a,nice color-- minus,2,times
3420442,a record five times,ARTICLE RECORD CD NNS,a,record,five,times
3422985,a sacred design and few rugs,ARTICLE JJ NN CC FEW NNS,a,sacred design and,few,rugs
3426378,"a further 7,000 people",ARTICLE JJ CD NNS,a,further,"7,000",people
3432737,a good many critics,ARTICLE JJ FEW NNS,a,good,many,critics
3443257,"a mere seven , eight ones","ARTICLE JJ CD , CD NNS",a,mere,"seven , eight",ones
3444408,An estimated two hundred thousand birds,ARTICLE VBN CD CD CD NNS,An,estimated,two hundred thousand,birds
3444557,a crude telescope four hundred years,ARTICLE JJ NN CD CD NNS,a,crude telescope,four hundred,years
3444957,an extra four hundred million dollars,ARTICLE JJ CD CD CD NNS,an,extra,four hundred million,dollars
3445909,a political outcast two years,ARTICLE JJ NN CD NNS,a,political outcast,two,years
3452805,an estimated 400 Danish Nazis,ARTICLE VBN CD JJ NNPS,an,estimated,400,Danish Nazis
3455711,a record 14 Doubles,ARTICLE RECORD CD NNPS,a,record,14,Doubles
3456831,an additional ten hectares,ARTICLE JJ CD NNS,an,additional,ten,hectares
3456837,an additional ten hectares,ARTICLE JJ CD NNS,an,additional,ten,hectares
3456975,a further erm sixteen hectares,ARTICLE JJ UH CD NNS,a,further erm,sixteen,hectares
3458145,a political prisoner three times,ARTICLE JJ NN CD NNS,a,political prisoner,three,times
3459717,an appropriate hundred and twenty two hectares,ARTICLE JJ CD CC CD CD NNS,an,appropriate,hundred and twenty two,hectares
3466267,"an estimated 957,600 residents",ARTICLE VBN CD NNS,an,estimated,"957,600",residents
3470266,an additional five hundred pounds,ARTICLE JJ CD CD NNS,an,additional,five hundred,pounds
3470643,a further eighty four thousand square feet,ARTICLE JJR CD CD CD JJ NNS,a,further,eighty four thousand,square feet
3471028,a great many costs,ARTICLE JJ FEW NNS,a,great,many,costs
3474253,an extra one two twelfths,ARTICLE JJ CD CD NNS,an,extra,one two,twelfths
3476553,a steady sixty miles,ARTICLE JJ CD NNS,a,steady,sixty,miles
3476569,a steady sixty miles,ARTICLE JJ CD NNS,a,steady,sixty,miles
3477257,a steady sixty miles,ARTICLE JJ CD NNS,a,steady,sixty,miles
3482265,a white crescent and four five - pointed stars,ARTICLE JJ NN CC CD CD HYPH JJ NNS,a,white crescent and,four five -,pointed stars
3483247,a great many more variables,ARTICLE JJ FEW FEW NNS,a,great,many more,variables
3494502,a cumulated 300 ECTS credits,ARTICLE VBN CD NN NNS,a,cumulated,300,ECTS credits
3502929,"an estimated 100,000 people",ARTICLE VBN CD NNS,an,estimated,"100,000",people
3503470,a good five hundred feet,ARTICLE JJ CD CD NNS,a,good,five hundred,feet
3507533,a hard couple days,ARTICLE JJ FEW NNS,a,hard,couple,days
3507536,a hard couple years,ARTICLE JJ FEW NNS,a,hard,couple,years
3508638,a total 5 edits,ARTICLE JJ CD NNS,a,total,5,edits
3511019,a hard couple days,ARTICLE JJ FEW NNS,a,hard,couple,days
3511022,a hard couple years,ARTICLE JJ FEW NNS,a,hard,couple,years
3514623,a hard couple days,ARTICLE JJ FEW NNS,a,hard,couple,days
3514626,a hard couple years,ARTICLE JJ FEW NNS,a,hard,couple,years
3527877,a half - dozen tribes,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,tribes
3538590,a good hundred miles,ARTICLE JJ CD NNS,a,good,hundred,miles
3545750,a good many lives,ARTICLE JJ FEW NNS,a,good,many,lives
3546185,an estimated 30 movies,ARTICLE VBN CD NNS,an,estimated,30,movies
3547497,An estimated 30 million people,ARTICLE VBN CD CD NNS,An,estimated,30 million,people
3556434,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
3558429,a pretty wacky last four years,ARTICLE RB JJ JJ CD NNS,a,pretty wacky last,four,years
3560950,an extra 30 minutes,ARTICLE JJ CD NNS,an,extra,30,minutes
3561804,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
3562339,an extra two hours,ARTICLE JJ CD NNS,an,extra,two,hours
3567195,a terrible accident ten years,ARTICLE JJ NN CD NNS,a,terrible accident,ten,years
3568479,a mere three years,ARTICLE JJ CD NNS,a,mere,three,years
3571304,a good ten years,ARTICLE JJ CD NNS,a,good,ten,years
3572688,an extra two bucks,ARTICLE JJ CD NNS,an,extra,two,bucks
3584246,a further three centuries,ARTICLE JJ CD NNS,a,further,three,centuries
3600721,A great many theories,ARTICLE JJ FEW NNS,A,great,many,theories
3603939,a mere 8 dollars,ARTICLE JJ CD NNS,a,mere,8,dollars
3609503,a great many writers,ARTICLE JJ FEW NNS,a,great,many,writers
3610158,an estimated 4 to 5 million people,ARTICLE VBN CD TO CD CD NNS,an,estimated,4 to 5 million,people
3617569,a good four long ones,ARTICLE JJ CD JJ NNS,a,good,four,long ones
3622792,a whole 50 cents,ARTICLE JJ CD NNS,a,whole,50,cents
3628487,an estimated one million years,ARTICLE VBN CD CD NNS,an,estimated,one million,years
3634505,a moderate 84 beats,ARTICLE JJ CD NNS,a,moderate,84,beats
3639197,a vertical diameter and two rings,ARTICLE JJ NN CC CD NNS,a,vertical diameter and,two,rings
3640401,a good many unpleasant traits,ARTICLE JJ FEW JJ NNS,a,good,many,unpleasant traits
3642270,a combined 12 seasons,ARTICLE VBN CD NNS,a,combined,12,seasons
3643350,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
3643528,a record 74 winners,ARTICLE RECORD CD NNS,a,record,74,winners
3644866,a fair few stormy conversations,ARTICLE JJ FEW JJ NNS,a,fair,few,stormy conversations
3645478,another little person several years,ARTICLE JJ NN FEW NNS,another,little person,several,years
3655086,a combined 11 seasons,ARTICLE JJ CD NNS,a,combined,11,seasons
3661246,an annual 3.5 million visitors,ARTICLE JJ CD CD NNS,an,annual,3.5 million,visitors
3661845,a painful three months,ARTICLE JJ CD NNS,a,painful,three,months
3666724,An additional 3 volumes,ARTICLE JJ CD NNS,An,additional,3,volumes
3670853,A long two miles,ARTICLE JJ CD NNS,A,long,two,miles
3678852,a good two days,ARTICLE JJ CD NNS,a,good,two,days
3689133,a great mystery and many people,ARTICLE JJ NN CC FEW NNS,a,great mystery and,many,people
3689687,an extra 2 points,ARTICLE JJ CD NNS,an,extra,2,points
3692884,an estimated 120 tales,ARTICLE VBN CD NNS,an,estimated,120,tales
3697117,An estimated 800 mourners,ARTICLE VBN CD NNS,An,estimated,800,mourners
3702649,a good three and half hours,ARTICLE JJ CD CC NN NNS,a,good,three and,half hours
3706835,a combined 16 seasons,ARTICLE JJ CD NNS,a,combined,16,seasons
3711916,an unexpected 15 points,ARTICLE JJ CD NNS,an,unexpected,15,points
3718634,an extra five minutes,ARTICLE JJ CD NNS,an,extra,five,minutes
3722898,a tropical storm six hours,ARTICLE JJ NN CD NNS,a,tropical storm,six,hours
3731694,a good many walks,ARTICLE JJ FEW NNS,a,good,many,walks
3741348,a at least four times,ARTICLE IN JJS CD NNS,a,at least,four,times
3744613,a goalless 90 minutes,ARTICLE JJ CD NNS,a,goalless,90,minutes
3750203,a mere 6 points,ARTICLE JJ CD NNS,a,mere,6,points
3757099,a good many people,ARTICLE JJ FEW NNS,a,good,many,people
3759862,an official statement two or three times,ARTICLE JJ NN CD CC CD NNS,an,official statement,two or three,times
3801435,a maximum five points,ARTICLE JJ CD NNS,a,maximum,five,points
3802702,a full ten points,ARTICLE JJ CD NNS,a,full,ten,points
3808252,a maximum five points,ARTICLE JJ CD NNS,a,maximum,five,points
3808739,a genuine corpse and five pounds,ARTICLE JJ NN CC CD NNS,a,genuine corpse and,five,pounds
3809938,a steady eighty miles,ARTICLE JJ CD NNS,a,steady,eighty,miles
3810115,A steady eighty miles,ARTICLE JJ CD NNS,A,steady,eighty,miles
3815115,An extra 30 seconds,ARTICLE JJ CD NNS,An,extra,30,seconds
3815119,An extra 30 seconds,ARTICLE JJ CD NNS,An,extra,30,seconds
3819596,a maximum five points,ARTICLE JJ CD NNS,a,maximum,five,points
3830946,a public airport 8 miles,ARTICLE JJ NN CD NNS,a,public airport,8,miles
3837247,A record 22 people,ARTICLE RECORD CD NNS,A,record,22,people
3838031,a tiny 27 inches,ARTICLE JJ CD NNS,a,tiny,27,inches
3841026,an estimated 200 million albums,ARTICLE VBN CD CD NNS,an,estimated,200 million,albums
3845881,an estimated 10 to 30 tons,ARTICLE VBN CD TO CD NNS,an,estimated,10 to 30,tons
3847444,an estimated 125 million opioid pills,ARTICLE VBN CD CD NN NNS,an,estimated,125 million,opioid pills
3856002,an outstanding few months,ARTICLE JJ FEW NNS,an,outstanding,few,months
3860161,a record four occasions,ARTICLE RECORD CD NNS,a,record,four,occasions
3863410,an extra few minutes,ARTICLE JJ FEW NNS,an,extra,few,minutes
3868067,an short set and two songs,ARTICLE JJ NN CC CD NNS,an,short set and,two,songs
3870956,"an estimated 3,446 black people",ARTICLE VBN CD JJ NNS,an,estimated,"3,446",black people
3878047,a simpler grammar and many loanwords,ARTICLE JJR NN CC FEW NNS,a,simpler grammar and,many,loanwords
3882292,an additional four hundred and thirty dwellings,ARTICLE JJ CD CD CC CD NNS,an,additional,four hundred and thirty,dwellings
3889136,a staggering 27 volumes,ARTICLE JJ CD NNS,a,staggering,27,volumes
3892515,a good ten years,ARTICLE JJ CD NNS,a,good,ten,years
3893758,a good seven inches,ARTICLE JJ CD NNS,a,good,seven,inches
3897449,a long history and many different dialects,ARTICLE JJ NN CC FEW JJ NNS,a,long history and,many,different dialects
3898698,a bad few weeks,ARTICLE JJ FEW NNS,a,bad,few,weeks
3900927,a full two minutes,ARTICLE JJ CD NNS,a,full,two,minutes
3911745,a half million views,ARTICLE JJ CD NNS,a,half,million,views
3913537,A third and third three twelfths,ARTICLE JJ CC JJ CD NNS,A,third and third,three,twelfths
3913829,A hard one nine twelfths,ARTICLE JJ CD CD NNS,A,hard,one nine,twelfths
3914991,A right angle ninety degrees,ARTICLE JJ NN CD NNS,A,right angle,ninety,degrees
3920890,a full seven days,ARTICLE JJ CD NNS,a,full,seven,days
3933093,a great many miles,ARTICLE JJ FEW NNS,a,great,many,miles
3936086,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
3945489,a good three years,ARTICLE JJ CD NNS,a,good,three,years
3949314,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
3954568,a little bit more sophisticated problems,ARTICLE JJ NN FEW JJ NNS,a,little bit,more,sophisticated problems
3960380,A cylindrical bar magnet three - quarters,ARTICLE JJ NN NN CD HYPH NNS,A,cylindrical bar magnet,three -,quarters
3960576,a brief ten days,ARTICLE JJ CD NNS,a,brief,ten,days
3977504,a whole five months,ARTICLE JJ CD NNS,a,whole,five,months
3980265,a small town nine kilometres,ARTICLE JJ NN CD NNS,a,small town,nine,kilometres
3983863,a record 20 rounds,ARTICLE RECORD CD NNS,a,record,20,rounds
3983864,a record 21 races,ARTICLE RECORD CD NNS,a,record,21,races
3996275,A great many Australian plants,ARTICLE JJ FEW JJ NNS,A,great,many,Australian plants
3997403,An estimated 500 million people,ARTICLE VBN CD CD NNS,An,estimated,500 million,people
4004541,a great many different names,ARTICLE JJ FEW JJ NNS,a,great,many,different names
