,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
6942,6943,A whopping five athletes greeted us at the door.,A whopping five athletes greeted us at the door,A whopping five athletes,five whopping athletes,whopping five an athletes,five whopping athletes,five an athletes,whopping an athletes
6943,6944,A whopping five pianists greeted us at the door.,A whopping five pianists greeted us at the door,A whopping five pianists,five whopping pianists,whopping five a pianists,five whopping pianists,five a pianists,whopping a pianists
6944,6945,A whopping five teammates greeted us at the door.,A whopping five teammates greeted us at the door,A whopping five teammates,five whopping teammates,whopping five a teammates,five whopping teammates,five a teammates,whopping a teammates
6945,6946,A whopping five lawyers greeted us at the door.,A whopping five lawyers greeted us at the door,A whopping five lawyers,five whopping lawyers,whopping five a lawyers,five whopping lawyers,five a lawyers,whopping a lawyers
6946,6947,A whopping five doctors greeted us at the door.,A whopping five doctors greeted us at the door,A whopping five doctors,five whopping doctors,whopping five a doctors,five whopping doctors,five a doctors,whopping a doctors
6947,6948,A whopping five actors greeted us at the door.,A whopping five actors greeted us at the door,A whopping five actors,five whopping actors,whopping five an actors,five whopping actors,five an actors,whopping an actors
6948,6949,A whopping five Americans greeted us at the door.,A whopping five Americans greeted us at the door,A whopping five Americans,five whopping Americans,whopping five an Americans,five whopping Americans,five an Americans,whopping an Americans
6949,6950,A whopping five bankers greeted us at the door.,A whopping five bankers greeted us at the door,A whopping five bankers,five whopping bankers,whopping five a bankers,five whopping bankers,five a bankers,whopping a bankers
6950,6951,A whopping twenty soldiers greeted us at the door.,A whopping twenty soldiers greeted us at the door,A whopping twenty soldiers,twenty whopping soldiers,whopping twenty a soldiers,twenty whopping soldiers,twenty a soldiers,whopping a soldiers
6951,6952,A whopping twenty students greeted us at the door.,A whopping twenty students greeted us at the door,A whopping twenty students,twenty whopping students,whopping twenty a students,twenty whopping students,twenty a students,whopping a students
6952,6953,A whopping twenty athletes greeted us at the door.,A whopping twenty athletes greeted us at the door,A whopping twenty athletes,twenty whopping athletes,whopping twenty an athletes,twenty whopping athletes,twenty an athletes,whopping an athletes
6953,6954,A whopping twenty pianists greeted us at the door.,A whopping twenty pianists greeted us at the door,A whopping twenty pianists,twenty whopping pianists,whopping twenty a pianists,twenty whopping pianists,twenty a pianists,whopping a pianists
6954,6955,A whopping twenty teammates greeted us at the door.,A whopping twenty teammates greeted us at the door,A whopping twenty teammates,twenty whopping teammates,whopping twenty a teammates,twenty whopping teammates,twenty a teammates,whopping a teammates
6955,6956,A whopping twenty lawyers greeted us at the door.,A whopping twenty lawyers greeted us at the door,A whopping twenty lawyers,twenty whopping lawyers,whopping twenty a lawyers,twenty whopping lawyers,twenty a lawyers,whopping a lawyers
6956,6957,A whopping twenty doctors greeted us at the door.,A whopping twenty doctors greeted us at the door,A whopping twenty doctors,twenty whopping doctors,whopping twenty a doctors,twenty whopping doctors,twenty a doctors,whopping a doctors
6957,6958,A whopping twenty actors greeted us at the door.,A whopping twenty actors greeted us at the door,A whopping twenty actors,twenty whopping actors,whopping twenty an actors,twenty whopping actors,twenty an actors,whopping an actors
6958,6959,A whopping twenty Americans greeted us at the door.,A whopping twenty Americans greeted us at the door,A whopping twenty Americans,twenty whopping Americans,whopping twenty an Americans,twenty whopping Americans,twenty an Americans,whopping an Americans
6959,6960,A whopping twenty bankers greeted us at the door.,A whopping twenty bankers greeted us at the door,A whopping twenty bankers,twenty whopping bankers,whopping twenty a bankers,twenty whopping bankers,twenty a bankers,whopping a bankers
6960,6961,A hefty three soldiers greeted us at the door.,A hefty three soldiers greeted us at the door,A hefty three soldiers,three hefty soldiers,hefty three a soldiers,three hefty soldiers,three a soldiers,hefty a soldiers
6961,6962,A hefty three students greeted us at the door.,A hefty three students greeted us at the door,A hefty three students,three hefty students,hefty three a students,three hefty students,three a students,hefty a students
6962,6963,A hefty three athletes greeted us at the door.,A hefty three athletes greeted us at the door,A hefty three athletes,three hefty athletes,hefty three an athletes,three hefty athletes,three an athletes,hefty an athletes
6963,6964,A hefty three pianists greeted us at the door.,A hefty three pianists greeted us at the door,A hefty three pianists,three hefty pianists,hefty three a pianists,three hefty pianists,three a pianists,hefty a pianists
6964,6965,A hefty three teammates greeted us at the door.,A hefty three teammates greeted us at the door,A hefty three teammates,three hefty teammates,hefty three a teammates,three hefty teammates,three a teammates,hefty a teammates
6965,6966,A hefty three lawyers greeted us at the door.,A hefty three lawyers greeted us at the door,A hefty three lawyers,three hefty lawyers,hefty three a lawyers,three hefty lawyers,three a lawyers,hefty a lawyers
6966,6967,A hefty three doctors greeted us at the door.,A hefty three doctors greeted us at the door,A hefty three doctors,three hefty doctors,hefty three a doctors,three hefty doctors,three a doctors,hefty a doctors
6967,6968,A hefty three actors greeted us at the door.,A hefty three actors greeted us at the door,A hefty three actors,three hefty actors,hefty three an actors,three hefty actors,three an actors,hefty an actors
6968,6969,A hefty three Americans greeted us at the door.,A hefty three Americans greeted us at the door,A hefty three Americans,three hefty Americans,hefty three an Americans,three hefty Americans,three an Americans,hefty an Americans
6969,6970,A hefty three bankers greeted us at the door.,A hefty three bankers greeted us at the door,A hefty three bankers,three hefty bankers,hefty three a bankers,three hefty bankers,three a bankers,hefty a bankers
6970,6971,A hefty five soldiers greeted us at the door.,A hefty five soldiers greeted us at the door,A hefty five soldiers,five hefty soldiers,hefty five a soldiers,five hefty soldiers,five a soldiers,hefty a soldiers
6971,6972,A hefty five students greeted us at the door.,A hefty five students greeted us at the door,A hefty five students,five hefty students,hefty five a students,five hefty students,five a students,hefty a students
6972,6973,A hefty five athletes greeted us at the door.,A hefty five athletes greeted us at the door,A hefty five athletes,five hefty athletes,hefty five an athletes,five hefty athletes,five an athletes,hefty an athletes
6973,6974,A hefty five pianists greeted us at the door.,A hefty five pianists greeted us at the door,A hefty five pianists,five hefty pianists,hefty five a pianists,five hefty pianists,five a pianists,hefty a pianists
6974,6975,A hefty five teammates greeted us at the door.,A hefty five teammates greeted us at the door,A hefty five teammates,five hefty teammates,hefty five a teammates,five hefty teammates,five a teammates,hefty a teammates
6975,6976,A hefty five lawyers greeted us at the door.,A hefty five lawyers greeted us at the door,A hefty five lawyers,five hefty lawyers,hefty five a lawyers,five hefty lawyers,five a lawyers,hefty a lawyers
6976,6977,A hefty five doctors greeted us at the door.,A hefty five doctors greeted us at the door,A hefty five doctors,five hefty doctors,hefty five a doctors,five hefty doctors,five a doctors,hefty a doctors
6977,6978,A hefty five actors greeted us at the door.,A hefty five actors greeted us at the door,A hefty five actors,five hefty actors,hefty five an actors,five hefty actors,five an actors,hefty an actors
6978,6979,A hefty five Americans greeted us at the door.,A hefty five Americans greeted us at the door,A hefty five Americans,five hefty Americans,hefty five an Americans,five hefty Americans,five an Americans,hefty an Americans
6979,6980,A hefty five bankers greeted us at the door.,A hefty five bankers greeted us at the door,A hefty five bankers,five hefty bankers,hefty five a bankers,five hefty bankers,five a bankers,hefty a bankers
6980,6981,A hefty twenty soldiers greeted us at the door.,A hefty twenty soldiers greeted us at the door,A hefty twenty soldiers,twenty hefty soldiers,hefty twenty a soldiers,twenty hefty soldiers,twenty a soldiers,hefty a soldiers
6981,6982,A hefty twenty students greeted us at the door.,A hefty twenty students greeted us at the door,A hefty twenty students,twenty hefty students,hefty twenty a students,twenty hefty students,twenty a students,hefty a students
6982,6983,A hefty twenty athletes greeted us at the door.,A hefty twenty athletes greeted us at the door,A hefty twenty athletes,twenty hefty athletes,hefty twenty an athletes,twenty hefty athletes,twenty an athletes,hefty an athletes
6983,6984,A hefty twenty pianists greeted us at the door.,A hefty twenty pianists greeted us at the door,A hefty twenty pianists,twenty hefty pianists,hefty twenty a pianists,twenty hefty pianists,twenty a pianists,hefty a pianists
6984,6985,A hefty twenty teammates greeted us at the door.,A hefty twenty teammates greeted us at the door,A hefty twenty teammates,twenty hefty teammates,hefty twenty a teammates,twenty hefty teammates,twenty a teammates,hefty a teammates
6985,6986,A hefty twenty lawyers greeted us at the door.,A hefty twenty lawyers greeted us at the door,A hefty twenty lawyers,twenty hefty lawyers,hefty twenty a lawyers,twenty hefty lawyers,twenty a lawyers,hefty a lawyers
6986,6987,A hefty twenty doctors greeted us at the door.,A hefty twenty doctors greeted us at the door,A hefty twenty doctors,twenty hefty doctors,hefty twenty a doctors,twenty hefty doctors,twenty a doctors,hefty a doctors
6987,6988,A hefty twenty actors greeted us at the door.,A hefty twenty actors greeted us at the door,A hefty twenty actors,twenty hefty actors,hefty twenty an actors,twenty hefty actors,twenty an actors,hefty an actors
6988,6989,A hefty twenty Americans greeted us at the door.,A hefty twenty Americans greeted us at the door,A hefty twenty Americans,twenty hefty Americans,hefty twenty an Americans,twenty hefty Americans,twenty an Americans,hefty an Americans
6989,6990,A hefty twenty bankers greeted us at the door.,A hefty twenty bankers greeted us at the door,A hefty twenty bankers,twenty hefty bankers,hefty twenty a bankers,twenty hefty bankers,twenty a bankers,hefty a bankers
6990,6991,A paltry three soldiers greeted us at the door.,A paltry three soldiers greeted us at the door,A paltry three soldiers,three paltry soldiers,paltry three a soldiers,three paltry soldiers,three a soldiers,paltry a soldiers
6991,6992,A paltry three students greeted us at the door.,A paltry three students greeted us at the door,A paltry three students,three paltry students,paltry three a students,three paltry students,three a students,paltry a students
6992,6993,A paltry three athletes greeted us at the door.,A paltry three athletes greeted us at the door,A paltry three athletes,three paltry athletes,paltry three an athletes,three paltry athletes,three an athletes,paltry an athletes
6993,6994,A paltry three pianists greeted us at the door.,A paltry three pianists greeted us at the door,A paltry three pianists,three paltry pianists,paltry three a pianists,three paltry pianists,three a pianists,paltry a pianists
6994,6995,A paltry three teammates greeted us at the door.,A paltry three teammates greeted us at the door,A paltry three teammates,three paltry teammates,paltry three a teammates,three paltry teammates,three a teammates,paltry a teammates
6995,6996,A paltry three lawyers greeted us at the door.,A paltry three lawyers greeted us at the door,A paltry three lawyers,three paltry lawyers,paltry three a lawyers,three paltry lawyers,three a lawyers,paltry a lawyers
6996,6997,A paltry three doctors greeted us at the door.,A paltry three doctors greeted us at the door,A paltry three doctors,three paltry doctors,paltry three a doctors,three paltry doctors,three a doctors,paltry a doctors
6997,6998,A paltry three actors greeted us at the door.,A paltry three actors greeted us at the door,A paltry three actors,three paltry actors,paltry three an actors,three paltry actors,three an actors,paltry an actors
6998,6999,A paltry three Americans greeted us at the door.,A paltry three Americans greeted us at the door,A paltry three Americans,three paltry Americans,paltry three an Americans,three paltry Americans,three an Americans,paltry an Americans
6999,7000,A paltry three bankers greeted us at the door.,A paltry three bankers greeted us at the door,A paltry three bankers,three paltry bankers,paltry three a bankers,three paltry bankers,three a bankers,paltry a bankers
7000,7001,A paltry five soldiers greeted us at the door.,A paltry five soldiers greeted us at the door,A paltry five soldiers,five paltry soldiers,paltry five a soldiers,five paltry soldiers,five a soldiers,paltry a soldiers
7001,7002,A paltry five students greeted us at the door.,A paltry five students greeted us at the door,A paltry five students,five paltry students,paltry five a students,five paltry students,five a students,paltry a students
7002,7003,A paltry five athletes greeted us at the door.,A paltry five athletes greeted us at the door,A paltry five athletes,five paltry athletes,paltry five an athletes,five paltry athletes,five an athletes,paltry an athletes
7003,7004,A paltry five pianists greeted us at the door.,A paltry five pianists greeted us at the door,A paltry five pianists,five paltry pianists,paltry five a pianists,five paltry pianists,five a pianists,paltry a pianists
7004,7005,A paltry five teammates greeted us at the door.,A paltry five teammates greeted us at the door,A paltry five teammates,five paltry teammates,paltry five a teammates,five paltry teammates,five a teammates,paltry a teammates
7005,7006,A paltry five lawyers greeted us at the door.,A paltry five lawyers greeted us at the door,A paltry five lawyers,five paltry lawyers,paltry five a lawyers,five paltry lawyers,five a lawyers,paltry a lawyers
7006,7007,A paltry five doctors greeted us at the door.,A paltry five doctors greeted us at the door,A paltry five doctors,five paltry doctors,paltry five a doctors,five paltry doctors,five a doctors,paltry a doctors
7007,7008,A paltry five actors greeted us at the door.,A paltry five actors greeted us at the door,A paltry five actors,five paltry actors,paltry five an actors,five paltry actors,five an actors,paltry an actors
7008,7009,A paltry five Americans greeted us at the door.,A paltry five Americans greeted us at the door,A paltry five Americans,five paltry Americans,paltry five an Americans,five paltry Americans,five an Americans,paltry an Americans
7009,7010,A paltry five bankers greeted us at the door.,A paltry five bankers greeted us at the door,A paltry five bankers,five paltry bankers,paltry five a bankers,five paltry bankers,five a bankers,paltry a bankers
7010,7011,A paltry twenty soldiers greeted us at the door.,A paltry twenty soldiers greeted us at the door,A paltry twenty soldiers,twenty paltry soldiers,paltry twenty a soldiers,twenty paltry soldiers,twenty a soldiers,paltry a soldiers
7011,7012,A paltry twenty students greeted us at the door.,A paltry twenty students greeted us at the door,A paltry twenty students,twenty paltry students,paltry twenty a students,twenty paltry students,twenty a students,paltry a students
7012,7013,A paltry twenty athletes greeted us at the door.,A paltry twenty athletes greeted us at the door,A paltry twenty athletes,twenty paltry athletes,paltry twenty an athletes,twenty paltry athletes,twenty an athletes,paltry an athletes
7013,7014,A paltry twenty pianists greeted us at the door.,A paltry twenty pianists greeted us at the door,A paltry twenty pianists,twenty paltry pianists,paltry twenty a pianists,twenty paltry pianists,twenty a pianists,paltry a pianists
7014,7015,A paltry twenty teammates greeted us at the door.,A paltry twenty teammates greeted us at the door,A paltry twenty teammates,twenty paltry teammates,paltry twenty a teammates,twenty paltry teammates,twenty a teammates,paltry a teammates
7015,7016,A paltry twenty lawyers greeted us at the door.,A paltry twenty lawyers greeted us at the door,A paltry twenty lawyers,twenty paltry lawyers,paltry twenty a lawyers,twenty paltry lawyers,twenty a lawyers,paltry a lawyers
7016,7017,A paltry twenty doctors greeted us at the door.,A paltry twenty doctors greeted us at the door,A paltry twenty doctors,twenty paltry doctors,paltry twenty a doctors,twenty paltry doctors,twenty a doctors,paltry a doctors
7017,7018,A paltry twenty actors greeted us at the door.,A paltry twenty actors greeted us at the door,A paltry twenty actors,twenty paltry actors,paltry twenty an actors,twenty paltry actors,twenty an actors,paltry an actors
7018,7019,A paltry twenty Americans greeted us at the door.,A paltry twenty Americans greeted us at the door,A paltry twenty Americans,twenty paltry Americans,paltry twenty an Americans,twenty paltry Americans,twenty an Americans,paltry an Americans
7019,7020,A paltry twenty bankers greeted us at the door.,A paltry twenty bankers greeted us at the door,A paltry twenty bankers,twenty paltry bankers,paltry twenty a bankers,twenty paltry bankers,twenty a bankers,paltry a bankers
7020,7021,A meager three soldiers greeted us at the door.,A meager three soldiers greeted us at the door,A meager three soldiers,three meager soldiers,meager three a soldiers,three meager soldiers,three a soldiers,meager a soldiers
7021,7022,A meager three students greeted us at the door.,A meager three students greeted us at the door,A meager three students,three meager students,meager three a students,three meager students,three a students,meager a students
7022,7023,A meager three athletes greeted us at the door.,A meager three athletes greeted us at the door,A meager three athletes,three meager athletes,meager three an athletes,three meager athletes,three an athletes,meager an athletes
7023,7024,A meager three pianists greeted us at the door.,A meager three pianists greeted us at the door,A meager three pianists,three meager pianists,meager three a pianists,three meager pianists,three a pianists,meager a pianists
7024,7025,A meager three teammates greeted us at the door.,A meager three teammates greeted us at the door,A meager three teammates,three meager teammates,meager three a teammates,three meager teammates,three a teammates,meager a teammates
7025,7026,A meager three lawyers greeted us at the door.,A meager three lawyers greeted us at the door,A meager three lawyers,three meager lawyers,meager three a lawyers,three meager lawyers,three a lawyers,meager a lawyers
7026,7027,A meager three doctors greeted us at the door.,A meager three doctors greeted us at the door,A meager three doctors,three meager doctors,meager three a doctors,three meager doctors,three a doctors,meager a doctors
7027,7028,A meager three actors greeted us at the door.,A meager three actors greeted us at the door,A meager three actors,three meager actors,meager three an actors,three meager actors,three an actors,meager an actors
7028,7029,A meager three Americans greeted us at the door.,A meager three Americans greeted us at the door,A meager three Americans,three meager Americans,meager three an Americans,three meager Americans,three an Americans,meager an Americans
7029,7030,A meager three bankers greeted us at the door.,A meager three bankers greeted us at the door,A meager three bankers,three meager bankers,meager three a bankers,three meager bankers,three a bankers,meager a bankers
7030,7031,A meager five soldiers greeted us at the door.,A meager five soldiers greeted us at the door,A meager five soldiers,five meager soldiers,meager five a soldiers,five meager soldiers,five a soldiers,meager a soldiers
7031,7032,A meager five students greeted us at the door.,A meager five students greeted us at the door,A meager five students,five meager students,meager five a students,five meager students,five a students,meager a students
7032,7033,A meager five athletes greeted us at the door.,A meager five athletes greeted us at the door,A meager five athletes,five meager athletes,meager five an athletes,five meager athletes,five an athletes,meager an athletes
7033,7034,A meager five pianists greeted us at the door.,A meager five pianists greeted us at the door,A meager five pianists,five meager pianists,meager five a pianists,five meager pianists,five a pianists,meager a pianists
7034,7035,A meager five teammates greeted us at the door.,A meager five teammates greeted us at the door,A meager five teammates,five meager teammates,meager five a teammates,five meager teammates,five a teammates,meager a teammates
7035,7036,A meager five lawyers greeted us at the door.,A meager five lawyers greeted us at the door,A meager five lawyers,five meager lawyers,meager five a lawyers,five meager lawyers,five a lawyers,meager a lawyers
7036,7037,A meager five doctors greeted us at the door.,A meager five doctors greeted us at the door,A meager five doctors,five meager doctors,meager five a doctors,five meager doctors,five a doctors,meager a doctors
7037,7038,A meager five actors greeted us at the door.,A meager five actors greeted us at the door,A meager five actors,five meager actors,meager five an actors,five meager actors,five an actors,meager an actors
7038,7039,A meager five Americans greeted us at the door.,A meager five Americans greeted us at the door,A meager five Americans,five meager Americans,meager five an Americans,five meager Americans,five an Americans,meager an Americans
7039,7040,A meager five bankers greeted us at the door.,A meager five bankers greeted us at the door,A meager five bankers,five meager bankers,meager five a bankers,five meager bankers,five a bankers,meager a bankers
7040,7041,A meager twenty soldiers greeted us at the door.,A meager twenty soldiers greeted us at the door,A meager twenty soldiers,twenty meager soldiers,meager twenty a soldiers,twenty meager soldiers,twenty a soldiers,meager a soldiers
7041,7042,A meager twenty students greeted us at the door.,A meager twenty students greeted us at the door,A meager twenty students,twenty meager students,meager twenty a students,twenty meager students,twenty a students,meager a students
7042,7043,A meager twenty athletes greeted us at the door.,A meager twenty athletes greeted us at the door,A meager twenty athletes,twenty meager athletes,meager twenty an athletes,twenty meager athletes,twenty an athletes,meager an athletes
7043,7044,A meager twenty pianists greeted us at the door.,A meager twenty pianists greeted us at the door,A meager twenty pianists,twenty meager pianists,meager twenty a pianists,twenty meager pianists,twenty a pianists,meager a pianists
7044,7045,A meager twenty teammates greeted us at the door.,A meager twenty teammates greeted us at the door,A meager twenty teammates,twenty meager teammates,meager twenty a teammates,twenty meager teammates,twenty a teammates,meager a teammates
7045,7046,A meager twenty lawyers greeted us at the door.,A meager twenty lawyers greeted us at the door,A meager twenty lawyers,twenty meager lawyers,meager twenty a lawyers,twenty meager lawyers,twenty a lawyers,meager a lawyers
7046,7047,A meager twenty doctors greeted us at the door.,A meager twenty doctors greeted us at the door,A meager twenty doctors,twenty meager doctors,meager twenty a doctors,twenty meager doctors,twenty a doctors,meager a doctors
7047,7048,A meager twenty actors greeted us at the door.,A meager twenty actors greeted us at the door,A meager twenty actors,twenty meager actors,meager twenty an actors,twenty meager actors,twenty an actors,meager an actors
7048,7049,A meager twenty Americans greeted us at the door.,A meager twenty Americans greeted us at the door,A meager twenty Americans,twenty meager Americans,meager twenty an Americans,twenty meager Americans,twenty an Americans,meager an Americans
7049,7050,A meager twenty bankers greeted us at the door.,A meager twenty bankers greeted us at the door,A meager twenty bankers,twenty meager bankers,meager twenty a bankers,twenty meager bankers,twenty a bankers,meager a bankers
7050,7051,An extra three soldiers greeted us at the door.,An extra three soldiers greeted us at the door,An extra three soldiers,three extra soldiers,extra three a soldiers,three extra soldiers,three a soldiers,extra a soldiers
7051,7052,An extra three students greeted us at the door.,An extra three students greeted us at the door,An extra three students,three extra students,extra three a students,three extra students,three a students,extra a students
7052,7053,An extra three athletes greeted us at the door.,An extra three athletes greeted us at the door,An extra three athletes,three extra athletes,extra three an athletes,three extra athletes,three an athletes,extra an athletes
7053,7054,An extra three pianists greeted us at the door.,An extra three pianists greeted us at the door,An extra three pianists,three extra pianists,extra three a pianists,three extra pianists,three a pianists,extra a pianists
7054,7055,An extra three teammates greeted us at the door.,An extra three teammates greeted us at the door,An extra three teammates,three extra teammates,extra three a teammates,three extra teammates,three a teammates,extra a teammates
7055,7056,An extra three lawyers greeted us at the door.,An extra three lawyers greeted us at the door,An extra three lawyers,three extra lawyers,extra three a lawyers,three extra lawyers,three a lawyers,extra a lawyers
7056,7057,An extra three doctors greeted us at the door.,An extra three doctors greeted us at the door,An extra three doctors,three extra doctors,extra three a doctors,three extra doctors,three a doctors,extra a doctors
7057,7058,An extra three actors greeted us at the door.,An extra three actors greeted us at the door,An extra three actors,three extra actors,extra three an actors,three extra actors,three an actors,extra an actors
7058,7059,An extra three Americans greeted us at the door.,An extra three Americans greeted us at the door,An extra three Americans,three extra Americans,extra three an Americans,three extra Americans,three an Americans,extra an Americans
7059,7060,An extra three bankers greeted us at the door.,An extra three bankers greeted us at the door,An extra three bankers,three extra bankers,extra three a bankers,three extra bankers,three a bankers,extra a bankers
7060,7061,An extra five soldiers greeted us at the door.,An extra five soldiers greeted us at the door,An extra five soldiers,five extra soldiers,extra five a soldiers,five extra soldiers,five a soldiers,extra a soldiers
7061,7062,An extra five students greeted us at the door.,An extra five students greeted us at the door,An extra five students,five extra students,extra five a students,five extra students,five a students,extra a students
7062,7063,An extra five athletes greeted us at the door.,An extra five athletes greeted us at the door,An extra five athletes,five extra athletes,extra five an athletes,five extra athletes,five an athletes,extra an athletes
7063,7064,An extra five pianists greeted us at the door.,An extra five pianists greeted us at the door,An extra five pianists,five extra pianists,extra five a pianists,five extra pianists,five a pianists,extra a pianists
7064,7065,An extra five teammates greeted us at the door.,An extra five teammates greeted us at the door,An extra five teammates,five extra teammates,extra five a teammates,five extra teammates,five a teammates,extra a teammates
7065,7066,An extra five lawyers greeted us at the door.,An extra five lawyers greeted us at the door,An extra five lawyers,five extra lawyers,extra five a lawyers,five extra lawyers,five a lawyers,extra a lawyers
7066,7067,An extra five doctors greeted us at the door.,An extra five doctors greeted us at the door,An extra five doctors,five extra doctors,extra five a doctors,five extra doctors,five a doctors,extra a doctors
7067,7068,An extra five actors greeted us at the door.,An extra five actors greeted us at the door,An extra five actors,five extra actors,extra five an actors,five extra actors,five an actors,extra an actors
7068,7069,An extra five Americans greeted us at the door.,An extra five Americans greeted us at the door,An extra five Americans,five extra Americans,extra five an Americans,five extra Americans,five an Americans,extra an Americans
7069,7070,An extra five bankers greeted us at the door.,An extra five bankers greeted us at the door,An extra five bankers,five extra bankers,extra five a bankers,five extra bankers,five a bankers,extra a bankers
7070,7071,An extra twenty soldiers greeted us at the door.,An extra twenty soldiers greeted us at the door,An extra twenty soldiers,twenty extra soldiers,extra twenty a soldiers,twenty extra soldiers,twenty a soldiers,extra a soldiers
7071,7072,An extra twenty students greeted us at the door.,An extra twenty students greeted us at the door,An extra twenty students,twenty extra students,extra twenty a students,twenty extra students,twenty a students,extra a students
7072,7073,An extra twenty athletes greeted us at the door.,An extra twenty athletes greeted us at the door,An extra twenty athletes,twenty extra athletes,extra twenty an athletes,twenty extra athletes,twenty an athletes,extra an athletes
7073,7074,An extra twenty pianists greeted us at the door.,An extra twenty pianists greeted us at the door,An extra twenty pianists,twenty extra pianists,extra twenty a pianists,twenty extra pianists,twenty a pianists,extra a pianists
7074,7075,An extra twenty teammates greeted us at the door.,An extra twenty teammates greeted us at the door,An extra twenty teammates,twenty extra teammates,extra twenty a teammates,twenty extra teammates,twenty a teammates,extra a teammates
7075,7076,An extra twenty lawyers greeted us at the door.,An extra twenty lawyers greeted us at the door,An extra twenty lawyers,twenty extra lawyers,extra twenty a lawyers,twenty extra lawyers,twenty a lawyers,extra a lawyers
7076,7077,An extra twenty doctors greeted us at the door.,An extra twenty doctors greeted us at the door,An extra twenty doctors,twenty extra doctors,extra twenty a doctors,twenty extra doctors,twenty a doctors,extra a doctors
7077,7078,An extra twenty actors greeted us at the door.,An extra twenty actors greeted us at the door,An extra twenty actors,twenty extra actors,extra twenty an actors,twenty extra actors,twenty an actors,extra an actors
7078,7079,An extra twenty Americans greeted us at the door.,An extra twenty Americans greeted us at the door,An extra twenty Americans,twenty extra Americans,extra twenty an Americans,twenty extra Americans,twenty an Americans,extra an Americans
7079,7080,An extra twenty bankers greeted us at the door.,An extra twenty bankers greeted us at the door,An extra twenty bankers,twenty extra bankers,extra twenty a bankers,twenty extra bankers,twenty a bankers,extra a bankers
7080,7081,A measly three soldiers greeted us at the door.,A measly three soldiers greeted us at the door,A measly three soldiers,three measly soldiers,measly three a soldiers,three measly soldiers,three a soldiers,measly a soldiers
7081,7082,A measly three students greeted us at the door.,A measly three students greeted us at the door,A measly three students,three measly students,measly three a students,three measly students,three a students,measly a students
7082,7083,A measly three athletes greeted us at the door.,A measly three athletes greeted us at the door,A measly three athletes,three measly athletes,measly three an athletes,three measly athletes,three an athletes,measly an athletes
7083,7084,A measly three pianists greeted us at the door.,A measly three pianists greeted us at the door,A measly three pianists,three measly pianists,measly three a pianists,three measly pianists,three a pianists,measly a pianists
7084,7085,A measly three teammates greeted us at the door.,A measly three teammates greeted us at the door,A measly three teammates,three measly teammates,measly three a teammates,three measly teammates,three a teammates,measly a teammates
7085,7086,A measly three lawyers greeted us at the door.,A measly three lawyers greeted us at the door,A measly three lawyers,three measly lawyers,measly three a lawyers,three measly lawyers,three a lawyers,measly a lawyers
7086,7087,A measly three doctors greeted us at the door.,A measly three doctors greeted us at the door,A measly three doctors,three measly doctors,measly three a doctors,three measly doctors,three a doctors,measly a doctors
7087,7088,A measly three actors greeted us at the door.,A measly three actors greeted us at the door,A measly three actors,three measly actors,measly three an actors,three measly actors,three an actors,measly an actors
7088,7089,A measly three Americans greeted us at the door.,A measly three Americans greeted us at the door,A measly three Americans,three measly Americans,measly three an Americans,three measly Americans,three an Americans,measly an Americans
7089,7090,A measly three bankers greeted us at the door.,A measly three bankers greeted us at the door,A measly three bankers,three measly bankers,measly three a bankers,three measly bankers,three a bankers,measly a bankers
7090,7091,A measly five soldiers greeted us at the door.,A measly five soldiers greeted us at the door,A measly five soldiers,five measly soldiers,measly five a soldiers,five measly soldiers,five a soldiers,measly a soldiers
7091,7092,A measly five students greeted us at the door.,A measly five students greeted us at the door,A measly five students,five measly students,measly five a students,five measly students,five a students,measly a students
7092,7093,A measly five athletes greeted us at the door.,A measly five athletes greeted us at the door,A measly five athletes,five measly athletes,measly five an athletes,five measly athletes,five an athletes,measly an athletes
7093,7094,A measly five pianists greeted us at the door.,A measly five pianists greeted us at the door,A measly five pianists,five measly pianists,measly five a pianists,five measly pianists,five a pianists,measly a pianists
7094,7095,A measly five teammates greeted us at the door.,A measly five teammates greeted us at the door,A measly five teammates,five measly teammates,measly five a teammates,five measly teammates,five a teammates,measly a teammates
7095,7096,A measly five lawyers greeted us at the door.,A measly five lawyers greeted us at the door,A measly five lawyers,five measly lawyers,measly five a lawyers,five measly lawyers,five a lawyers,measly a lawyers
7096,7097,A measly five doctors greeted us at the door.,A measly five doctors greeted us at the door,A measly five doctors,five measly doctors,measly five a doctors,five measly doctors,five a doctors,measly a doctors
7097,7098,A measly five actors greeted us at the door.,A measly five actors greeted us at the door,A measly five actors,five measly actors,measly five an actors,five measly actors,five an actors,measly an actors
7098,7099,A measly five Americans greeted us at the door.,A measly five Americans greeted us at the door,A measly five Americans,five measly Americans,measly five an Americans,five measly Americans,five an Americans,measly an Americans
7099,7100,A measly five bankers greeted us at the door.,A measly five bankers greeted us at the door,A measly five bankers,five measly bankers,measly five a bankers,five measly bankers,five a bankers,measly a bankers
7100,7101,A measly twenty soldiers greeted us at the door.,A measly twenty soldiers greeted us at the door,A measly twenty soldiers,twenty measly soldiers,measly twenty a soldiers,twenty measly soldiers,twenty a soldiers,measly a soldiers
7101,7102,A measly twenty students greeted us at the door.,A measly twenty students greeted us at the door,A measly twenty students,twenty measly students,measly twenty a students,twenty measly students,twenty a students,measly a students
