idx,construction,corrupted_construction,corrupted_sentence
9665,a few hundred metres,a hundred metres,"Just a hundred metres ... four hundred , three hundred , two ... Lerm closed his eyes in terror and grabbed a handle which he had loosened during his previous uncoordinated efforts ."
9666,a few hundred feet,a hundred feet,An object exploded a hundred feet in front of them .
9667,a good twenty feet,a twenty feet,""" I could get one in from all the way over there , "" I said , pointing out where we 'd left the bikes , a twenty feet away ."
9668,a few hundred people,a hundred people,"It was just a barn , there were a hundred people there , if that ."
9669,a good three feet,a three feet,"It was massive ; a three feet wide and long , although only a few inches thick ."
9670,a mere six months,a six months,"Nightmare Barrack 's iconic deal to prevent Iran from ever getting a nuclear weapon does what it does , not what it says it does – let 's review the compilation of the weapons concession discussed – there are others which appear later on in the timeline , but here I 'm only discussing what Iran got as soon as 16 January 2016 ; a six months after Obama 's Iran nuclear deal was accepted , unread , by the United Nations Security Council non - permanent members sitting on the Council"
9671,a further 10 minutes,a 10 minutes,Add tomato purée and chopped cucumber and cook a 10 minutes .
9672,a good fifteen meters,a fifteen meters,She swam out a fifteen meters before turning around and calling to us to join her .
9673,a good twenty miles,a twenty miles,They were now a twenty miles out of town and he hoped that Rip would never want to see him again or have anyone in town ever get wind of what happened .
9674,a few hundred yards,a hundred yards,Ray and Larry rode out a hundred yards ahead of the train to head off any danger and watch for the dust of the train ahead of them .
9675,a couple hundred yards,a hundred yards,"We place well - armed men , ridin ' parallel a hundred yards out from the train ."
9676,a few hundred yards,a hundred yards,"There , a hundred yards from the last edge of the circle sat the lone wagon ."
9677,an extra six gallons,an six gallons,""" We 're bringing an six gallons of fuel along though , "" I said as I pointed to a red plastic Walmart fuel jug that I had lashed to the trike . """
9678,a full five minutes,a five minutes,"She carried on for a five minutes half scolding , half eager to discuss this bit of news with all and sundry ."
9679,a good five years,a five years,"Though separated a five years , they developed a fond rapport , and Nerris was glad to see his cousin ."
9680,a mere three days,a three days,"If the wind held up , they would dock in the harbor after a three days ."
9681,a few hundred metres,a hundred metres,"He quickly scanned the ground for a clear field , then noted the wind direction from the smoke of a farmhouse chimney a hundred metres ahead : it was blowing across the field , not ideal ."
9682,a few thousand years,a thousand years,"She began to speak about the history of the area a thousand years before , then stopped abruptly in mid - sentence ."
9683,a full three days,a three days,"This time they would be staying there for a three days , minimum ."
9684,an entire eighteen holes,an eighteen holes,"They had also arranged to "" accidently "" run into John on the third hole and then stay with him to finish out an eighteen holes of golf ."
9685,an extra twenty minutes,an twenty minutes,This would yield an twenty minutes of talk time .
9686,a full four minutes,a four minutes,He waited a four minutes .
9687,a bad five years,a five years,""" Wow , that guy 's had a five years ! """
9688,a whole two days,a two days,"She stopped talking to me for a two days last week because as a joke I cut out pics of Robert Smith 's face , sticky - taping them over Morrisey 's face on all her Smiths posters ."
9689,a measley ten bucks,a ten bucks,It 's only a ten bucks . '
9690,a pissy five bucks,a five bucks,Cunts going round handing out a five bucks to the destitute so they can brag about it to their mates do n't deserve any praise .
9691,a few thousand dollars,a thousand dollars,But years later Mum confided in me that at the time a junkie known only as Skunk was approached by The Ratbag Three about offing some guy for a thousand dollars .
9692,an extra two weeks,an two weeks,"And they took an two weeks rent off us , fuckin bullies ."
9693,an extra twelve months,an twelve months,So if ya decide to finish high school later on ya gon na have to do an twelve months on top of it .
9694,a mere three feet,a three feet,"As he hurtled through the air , a three feet from Netiro 's opened mouth , Nehemiah threw his sword right into the dragon 's neck ."
9695,a little past sixteen years,a sixteen years,"She was born , like all kids , grew - up on a farm in the middle of the flatlands , got married a sixteen years old , sadly never had kids , grew old and then died ."
9696,a few million kilometers,a million kilometers,"Cygnus had nearly positioned herself a million kilometers inside the orbit of Sedna and well inside the detected inner bands of the Bug swarm , itself also in heliocentric orbit ."
9697,a few million years,a million years,"The crew of 1st Time Displacement Battery had traveled back along the T-001 time stream before , in fact , as far back as a million years after the Big Bang , in their First Light mission ."
9698,a few billion years,a billion years,"To believe that Cygnus could jump time streams , follow worldlines back in time to a point only a billion years after the Big Bang and locate the single world where the Chinese seedship had mistakenly landed and thrown off bots that would later evolve into the Coethi was beyond nuts ."
9699,an impressive five minutes,an five minutes,"There was an five minutes from a young man called Marcus , but we did question afterwards whether he was indeed that good or whether we were just grateful to be rid of Colin ."
9700,a good ten minutes,a ten minutes,I had to run the water for a ten minutes before it was warm enough for humans to shower in it .
9701,a good five minutes,a five minutes,I knocked loudly twice and waited a five minutes but no one answered .
9702,a hot five minutes,a five minutes,"Then I get a second thought , ' at my age a five minutes with Nellie followed by a cold drink of water would more than likely finish me off ' ."
9703,an additional five houses,an five houses,"Once the ice was broken , with Calvert 's house order , within a month an five houses were sold ."
9704,a whole fifteen minutes,a fifteen minutes,"I 'm surprised it took her a fifteen minutes to sick the mouth of damnation upon us,""she glared at Mrs. Gentry and then at Rosemary , displeased ."
9705,a solid five seconds,a five seconds,"When Gordie 's stomach let loose a thunderous growl lasting a five seconds , his eyes widened , and he muttered , "" Sorry . """
9706,an extra five minutes,an five minutes,"You can stay for an five minutes after I 've answered your question . """
9707,a long six days,a six days,It had been a six days .
9708,a good hundred pounds,a hundred pounds,He stood at least a head taller and carried a hundred pounds more on his thickly muscled frame .
9709,a good five years,a five years,"A butter - bar subteniente maybe , but a five years too young for the silver bar ."
9710,a few thousand years,a thousand years,Their novelty is somehow only a thousand years obsolete .
9711,an initial fifteen pounds,an fifteen pounds,"Most women lose an fifteen pounds right after birth , and then one to two pounds a month for about six months , and usually more slowly after that ."
9712,an intolerable twenty degrees,an twenty degrees,"In the absence of clouds and wind , a winter day in Corrales , New Mexico can start out at an twenty degrees and reach a comfortable fifty - five ."
9713,a few hundred feet,a hundred feet,After a hundred feet the path turned inland .
9714,a few hundred feet,a hundred feet,We were a hundred feet from the river and it was no longer in sight .
9715,a few hundred feet,a hundred feet,We were back on the main path and after a hundred feet we were at our marker ; the immovable boulder .
9716,a few hundred feet,a hundred feet,"We followed a path made by mole hills and a hundred feet into the woods , on the river 's edge was the prettiest part of the Bosque I had ever seen ."
9717,a long two weeks,a two weeks,"I recalled the first time I heard this sound , slightly more than a two weeks prior ."
9718,an additional 30 years,an 30 years,He also knew why He would wait an 30 years until Jesus was 30 years old before He started His 3 - year public ministry .
9719,a few hundred yards,a hundred yards,""" Now you wait here for me , "" Gaggy said with a smile as he stalled the motor a hundred yards from a small run - down office above a bakery . """
9720,a few hundred feet,a hundred feet,Always within a hundred feet of Anais with no hint of impropriety beyond confederates in the sublime art of entrapment and exploitation .
9721,a good three months,a three months,For a three months we were men with hammers knocking down everything we crossed .
9722,a few hundred yards,a hundred yards,"Maryanne stopped a hundred yards from the house . """
9723,a few hundred yards,a hundred yards,"When it was full dark , she made her way back to the Walkers ' , parking her grey Intrigue on the shoulder a hundred yards down the road ."
9724,a few hundred feet,a hundred feet,"Maryanne waved widely , as if signaling her presence from miles across the prairie , rather than a hundred feet across Heritage Park ."
9725,a young nineteen years,a nineteen years,"He was a young knight , a nineteen years of age , only a year older than Brye ."
9726,a few hundred feet,a hundred feet,"He watched it shoot past the lakeside hunting cabin into the coulee up to where he himself had just parked , a hundred feet below where he now sat , where he had come to be alone , to think , to figure things out ."
9727,a few hundred yards,a hundred yards,They drove on for a hundred yards coming to a clearing in which stood a gray two - story farmhouse .
9728,a few hundred yards,a hundred yards,"Battalions were being reduced to platoons for the gain of a hundred yards , or sometimes none at all , with increasing regularity ."
9729,a few hundred yards,a hundred yards,Flares were going up a hundred yards forward in the German support lines .
9730,a mere fifty yards,a fifty yards,No - man 's land was at places a fifty yards wide .
9731,an additional four drums,an four drums,Thompson finished his magazine and ran off to find another member of his section ; each would be carrying an four drums of ammunition .
9732,a few hundred feet,a hundred feet,"Odd that a rise of just a hundred feet up a mountain could propel a person from one season into another , autumn to winter , he considered ."
9733,a few hundred kilometres,a hundred kilometres,"By the time I got back out onto the main highway , I did n't really have too far that I wanted to go for my next adventure , probably just a hundred kilometres ."
9734,a few hundred metres,a hundred metres,"Just a hundred metres from where we had spotted the house , we found ourselves driving through a pine tree forest ."
9735,a few hundred metres,a hundred metres,"Up in the hills , a hundred metres from where I was , I could see a small flickering light ."
9736,a few hundred feet,a hundred feet,"He was a hundred feet to the east with the sun in his face , wearing huge shades which totally obscured his eyes , if in fact he did have eyes ."
9737,a contented five minutes,a five minutes,"After a five minutes the silence was broken by a man 's voice which bellowed ; "" This is my favorite spot . """
9738,a few hundred feet,a hundred feet,After a hundred feet they were in the umbrella - coyote lady 's domain and she quickly made her presence known .
9739,a few hundred feet,a hundred feet,But after a hundred feet of well - worn path alongside the Rio Grande she was bored .
9740,a good six inches,a six inches,"He still had me suspended in the air , my feet dangling a six inches off the ground ."
9741,a speedy seven weeks,a seven weeks,"Strang paused awhile to look around at his fellows adding , "" The Kingdom of Prussia in a seven weeks of conflict has humbled the Empire of Austria - Hungary ."
9742,a few hundred yards,a hundred yards,"The vehicle stopped at the curb a hundred yards away from Etna Toys Plant and Warehouse , then the four doors of the vehicle opened , and five men in brown suits exited the car ."
9743,a mere two months,a two months,"The Gaea would depart on the summer solstice , a two months away ."
9744,a few hundred yards,a hundred yards,"When JD had traveled a hundred yards and could not easily hold onto the rope , he reached hand over hand to climb into the boat ."
9745,a few hundred bucks,a hundred bucks,Here 's the charger and a hundred bucks .
9746,a frightening ninety miles,a ninety miles,"Eddie and Dr. Beasley did three laps , pushing the old Ford up to a ninety miles an hour on the back stretch at one point ."
9747,a few thousand years,a thousand years,"According to Young Earth Creationists , these remains are really only a thousand years old ."
9748,a good two years,a two years,""" MTV was n't ready for that controversy yet , Madonna 's _ Like a Prayer _ video was still a two years away ."
9749,a good two decades,a two decades,""" That puts me a two decades younger than you , "" Amy said , "" I was born on January 15th , 1980 . """
9750,a bare three weeks,a three weeks,"We spent a three weeks recording the record , which was a self titled record under the band name ' Cole ' ."
9751,a good thirty minutes,a thirty minutes,It took me a thirty minutes to uncover the foot or more of snow that had accumulated on it over night .
9752,a few hundred yards,a hundred yards,The overpass was not one for a road but a raised area that had been constructed as a compromise to allow them to expand highway ten to four lanes without noise going to the neighborhood a hundred yards away .
9753,a mere four hours,a four hours,The time stamp on the film put it as a four hours before the child was found in the bushes of a park not ten minutes from there .
9754,a full twenty steps,a twenty steps,"At her current rate , she would conquer her record of the previous day and walk a twenty steps , though she still needed to hold onto my arms ."
9755,a few hundred units,a hundred units,"Worlds separated us and yet , in another sense , we existed only a hundred units apart . """
9756,a few hundred yards,a hundred yards,They had covered a hundred yards when Celestia drew to a halt .
9757,a further three hours,a three hours,The distant mountains did n't seem to get any closer and Merrick revised the ETA to a three hours .
9758,a few hundred feet,a hundred feet,"All I wish for is a fish ... "" He jumped off the bridge and towards the water , falling to a lower ledge a hundred feet below . * *"
9759,a good fifteen yards,a fifteen yards,"It was a fifteen yards from the driveway to the porch , and at the rate the geezer was moving he would make it by dark ."
9760,a good six feet,a six feet,Cynthie 's window was a six feet off the ground on the outside .
9761,a dangerous three feet,a three feet,"It was simply a line down , hanging a three feet off the ground , about three miles out Duncan Road ."
9762,a mere twenty yards,a twenty yards,"The truck , with its warm cab and solid metal body , was a twenty yards away ."
9763,a good six inches,a six inches,"Gary , whose nose and mouth were now a six inches apart ."
9764,a good eighteen or twenty feet,a eighteen or twenty feet,It was a eighteen or twenty feet down to the ground ; there was nothing the creature could use as footholds to climb the wall .
9765,a good thirty degrees,a thirty degrees,"Sunlight poured into the room , and the temperature shot up a thirty degrees in seconds ."
9766,a few hundred watts,a hundred watts,It 's only a hundred watts .
9767,a further four times,a four times,"At least , that was my excuse for missing a four times , peppering the back of the van harmlessly until my last shot hit Mokri in the back of the thigh as he finally flopped forward into the van ."
9768,a few hundred yards,a hundred yards,"Khorsandi sighed , as she put the scope to her eye and tracked across the large country house which stood a hundred yards away ."
9769,a mere fifty feet,a fifty feet,"It was a fifty feet away , but miles in my head ."
9770,a clear two feet,a two feet,"I brought my hand up to knock when the door dragged itself open to reveal an ogre of a woman , towering a two feet above me with considerable girth and a permanent scowl scratched across her face : the Madam Duenna ."
9771,a mere twelve feet,a twelve feet,"Keelan stopped before us , a twelve feet away , his sword extended menacingly , his face overflowing with rage ."
9772,a full eight hours,a eight hours,Most of our new agents report that it takes them a eight hours to complete it .
9773,a good fifteen feet,a fifteen feet,I hold Tiny back a fifteen feet .
9774,a judicious five minutes,a five minutes,I wait a five minutes .
9775,a solid two minutes,a two minutes,"Then , the bodyguard opened the trunk and spent a two minutes going over every inch ."
9776,a few hundred yards,a hundred yards,"The story denies assumption after assumption , beginning with the physical and moving on to the moral and the emotional : the girl has a tail , a pelt and gill slits , the courtship takes place in seconds , and the parties part to enjoy each other 's taped , stored identities in the privacy of their own environments which in his case is "" adrift on a sponson city a hundred yards over her head "" ( W , 384 ) ."
9777,a few hundred people,a hundred people,"I used to have to perform , but only in front of a hundred people every night ."
9778,a good 150 yards,a 150 yards,They were still a 150 yards from shore and there was _ no way _ he 'd crossed the entire pier and made it to the boardwalk in less than ten seconds .
9779,a good fifty feet,a fifty feet,They were still a fifty feet out when an angry voice echoed across the lake .
9780,a few hundred feet,a hundred feet,"Glancing toward the sound , Declan found her standing beneath an alder tree a hundred feet away ."
9781,a good twenty degrees,a twenty degrees,"The stone walls of the passageway seemed to insulate the cold , making the cramped entryway feel a twenty degrees cooler than the air outside ."
9782,a good five yards,a five yards,Brian pushed down the handle of the staff room ; David walked backwards and was now a five yards from Brian and the place he was about to open .
9783,a good four hours,a four hours,"Then it took a convoluted way to drop off all the students , and she did n't arrive home before a four hours of travel ."
9784,a good ten strides,a ten strides,"Stacked three or four - story high , the crates stood only three strides from the wall and ran a ten strides along the warehouse ."
9785,a good five minutes,a five minutes,"But it was the worst time to be trying to leave the city , and the big car had n't moved an inch for a five minutes ."
9786,a good thirty strides,a thirty strides,"She did n't change her pace , following the Trowan girl on the straight graveled path , a thirty strides behind ."
9787,a scant four feet,a four feet,"Shelves ran along both sides , leaving a four feet in the middle to move around ."
9788,an uninterrupted five hours,an five hours,"He had expected to get a middle - of - the - night call from Fowler telling him of the deaths , but mercifully he 'd had an five hours of sleep ."
9789,a few hundred yards,a hundred yards,"Only a hundred yards beyond , there are scattered trees among the rich grass of meadows ."
9790,a few thousand hybrids,a thousand hybrids,"In closing , sadly there are a thousand hybrids staying behind ."
9791,a few hundred yards,a hundred yards,The figure is now within a hundred yards .
9792,a good thirty feet,a thirty feet,"They all stand a thirty feet away from the protective shield of the tower , a shield that is only three feet from the tower itself ."
9793,a few hundred meters,a hundred meters,"With each passing second , the incoming shots slow , until they eventually stop altogether ; then , when they are within a hundred meters , a beam of light shoots out from the larger ship , stopping Kaden 's ship ."
9794,a full 1.8 teraflops,a 1.8 teraflops,The PS4 's own CPU clocks in at a 1.8 teraflops worth – which means 1.8 * * trillion * * operations ... per second !
9795,"a downright inconceivable 40,000,000,000,000,000,000 calculations","a 40,000,000,000,000,000,000 calculations","That 's a 40,000,000,000,000,000,000 calculations of raw processing speed available with every single tick of the clock ! ! !"
9796,a scant three decades,a three decades,The PS4 would still run someone $ 77 BILLION only a three decades prior .
9797,an extra ten toes,an ten toes,while the Mayans used a base of 20 ( who one can only suppose took advantage of counting using an ten toes in addition to their fingers ! )
9798,an endless ten minutes,an ten minutes,"Of course I was too restless to wait the two minutes for a normal one , so I spent an ten minutes slammed up against the tile wall while shampoo poured into my eyes — there was no way I was closing them even for a second for fear that the moldy shower curtain would creep up and make contact with my skin ."
9799,a respectable seven minutes,a seven minutes,"I arrived a seven minutes early , took a seat in the third row , and quickly realized that most of the people in the room were sitting in silence and constantly yawning ."
9800,a few hundred feet,a hundred feet,Only a hundred feet in the air is already enough to leave anyone in awe .
9801,a good ten minutes,a ten minutes,"She cried for a ten minutes or so before lifting her head wiping her nose and stealing a glance back up at him . """
9802,a good six inches,a six inches,"Suddenly , without even thinking , he leaned forward and pressed his lips to her forehead for a brief moment then returned to his full height , which stood a six inches above her ."
9803,a good five miles,a five miles,"He had walked a five miles back home , but he held onto the fact that he knew the keys to his father 's house , truck and business were in his pocket and he had taken them back from Lucian Black ."
9804,a bare three feet,a three feet,Her distended belly came to a hesitant halt a three feet from a scrawny and tall red headed uniformed officer who reminded her of an out of work circus clown slowly starving to death .
9805,a couple hundred miles,a hundred miles,"Which he 'd been doing his damnedest to hide ever since Bennie Saguaro , the acerbic Yaqui Native American who was his next door neighbor when he lived a hundred miles to the east in Tucson , joked that he looked like he 'd been scalped ."
9806,a full two miles,a two miles,As a tween she was already bungee jumping off the brand new and hopefully reasonably well engineered bridge railings over the Yangtze -- the Chang Jiang -- and had once bounced on a pogo stick a two miles on top of the Great Wall of China .
9807,a full two minutes,a two minutes,It was a two minutes before the grin lost some steam and Tony was able to push it back into his inner repository of various expressions .
9808,a good two days,a two days,"Mm , maybe , but it 's a two days travel to Tri Via , ' he remarked . '"
9809,a good six inches,a six inches,"Furthermore she could see that the branch she had originally grasped hold of was a mere thin off - shoot , but only three feet to the right the trunk grew on up past her , and was a six inches thick at her head height ."
9810,a few hundred yards,a hundred yards,"He pointed towards a small , silver river to the west , a hundred yards away . '"
9811,a further five hours,a five hours,"Even with the weather remaining clear it would be at least a three hour march over the western - most pass , and then at least a five hours to Port Tawny ."
9812,a few hundred feet,a hundred feet,But some rock formations a hundred feet in seemed to've been shaped by magic .
9813,a few hundred yards,a hundred yards,They crouched near a small circle of rocks sticking out of the sand a hundred yards from the camp .
9814,a few hundred yards,a hundred yards,"But no plants , yet , and Butu could sense nothing larger than an insect within a hundred yards ."
9815,a few hundred steps,a hundred steps,"Everyone slowed , huffing and puffing , a hundred steps up , and the exit looked no closer ."
9816,a whopping 200 times,a 200 times,"In cyber , Israel is punching a 200 times above its weight ."
9817,a few hundred yards,a hundred yards,"We found it a hundred yards to the north , on Dark Lane ."
9818,a good ten yards,a ten yards,The others were walking at a faster pace than him and were now a ten yards or so in front .
9819,a few thousand persons,a thousand persons,The substitution of such programmes appears in the magazines in the form of surveys based on a questionnaire that is circulated among a thousand persons in a way as would give the desired impression .
9820,a few hundred cases,a hundred cases,The paralysis of legal system is so complete that hardly a hundred cases of murder result in convictions every year .
9821,a few thousand bucks,a thousand bucks,One kills another for the sake of a thousand bucks .
9822,a few hundred yards,a hundred yards,The woods were n't very deep -- Route 4 was only a hundred yards from where they stood on the other side -- but they were untamed and dense .
9823,a few hundred bucks,a hundred bucks,Perhaps a hundred bucks ?
9824,a few hundred yards,a hundred yards,"He was only a hundred yards from his destination anyway , so they would n't need to follow him much further ."
9825,a few hundred yards,a hundred yards,"She 'd known he was living just a hundred yards from her trailer since the night of the race track incident , because his car made a very unique clicking when it drove and she plainly heard him returning from wherever he went after dropping her off ."
9826,a few hundred yards,a hundred yards,"Completely unaware of this potentially deadly game of chicken unfolding just a hundred yards from them was a woman at the wheel , and a less than one year old child in a carseat riding along behind her ."
9827,a whole thousand years,a thousand years,The reason why is that they will have a thousand years in which to do this .
9828,a few hundred meters,a hundred meters,"* The "" Barrier "" with its radiation clogs all the radio frequencies , and given the emitters inside the cruiser casing , the reception of signals by us is practically impossible.- But this is only at first glance , - the young guy looked at the assistant captain , as if looking for support from him.- We know that a hundred meters from the cruiser , the radiation of the emitters is weakening ."
9829,a long seven minutes,a seven minutes,He will stand here for a seven minutes .
9830,an extra two days,an two days,"At least his special pleading had been partially successful , in that his family had been granted an two days before they were required to follow him ."
9831,a full five minutes,a five minutes,"I stared at the door for a five minutes , not knowing what to think ."
9832,a solid five minutes,a five minutes,"Afterwards , I looked through my closet for a five minutes before choosing a pair of cropped , fitted jeans , a fitted red shirt and a pair of red open - toed heels ."
9833,a solid sixty feet,a sixty feet,"He did n't stop it at the point I had mine at ; instead , he sent it all the way back to the other wall , a sixty feet away ."
9834,a solid three to four hours,a three to four hours,"I was literally stiff as a board , and probably spent a three to four hours that way every day ."
9835,a further two rides,a two rides,"After a two rides , we finally climbed out , and Ashton bought me a pink cotton candy ."
9836,a few hundred times,a hundred times,After the glue cured they tested each set on a device which filled them with air a hundred times .
9837,a few hundred artists,a hundred artists,We have a hundred artists each creating the perfect noses for all the cats in production .
9838,an additional 2 miles,an 2 miles,It was late afternoon before they moved on and they covered only an 2 miles before darkness forced them to make camp .
9839,a full thirty days,a thirty days,"It takes a thirty days for the shit to clean out of your body , something about the THC being stored in your fat cells or something ."
9840,a comfortable 65 miles,a 65 miles,He pulls onto the interstate and quickly accelerates to a 65 miles an hour .
9841,a full two minutes,a two minutes,For a two minutes after he finished speaking Minelli said nothing .
9842,a full five minutes,a five minutes,"For a five minutes confusion reigned while each child was attended to personally by one of the adults , suggestions made on what to paint , little full - length aprons put on over other clothes ."
9843,a steady six knots,a six knots,"What he did not know , and probably would not have cared about if he did , was that the tide was flooding and the volatile mass had begun flowing towards New York City at a six knots ."
9844,an extra two feet,an two feet,I could never understand how they could not move up an two feet and put their garbage into the bin .
9845,a mere six months,a six months,The last family stayed a six months before moving away .
9846,an extra thirty minutes,an thirty minutes,I would put an thirty minutes aside each evening just to do Johnny 's homework .
9847,a few hundred yards,a hundred yards,It was only a hundred yards away from us .
9848,a few hundred people,a hundred people,"On a normal day , a game with the Ascension of our Lord team playing the Lit Brothers Department store team would be lucky to draw a hundred people ."
9849,a few hundred people,a hundred people,I 'll be terribly embarrassed if we get Mr. Ruth there and only a hundred people show up .
9850,an extra two dollars,an two dollars,I paid the driver an two dollars to wait for us while we dined and drive us home when we were finished .
9851,a good twenty years,a twenty years,They are older than our parents by a twenty years .
9852,a few thousand peasants,a thousand peasants,"It 's the irony noted of Mao as well , having overthrown the Emperor and the Forbidden City , China was exactly the same before and after except for the lives of a thousand peasants immediately around Beijing ."
9853,a minimal 35 minutes,a 35 minutes,"It is mega bonus round for the alliances , and survivor return times from missions is a 35 minutes ."
9854,a whole ten seconds,a ten seconds,Almer 's little vocalist friend squeezed into the gap between his stomach and the bar and stayed there for a ten seconds before he bucked away in surprise .
9855,a few thousand people,a thousand people,"I contributed to several underground magazines at the time such as Macabre , Within the Gothic Arch , Land of Plenty , that sort of thing and had a number of short stories published in anthologies , but I doubt if more than a thousand people read any of it ."
9856,a good two hours,a two hours,It would get me out of the house and eat up a two hours .
9857,a steady 40 beats,a 40 beats,There was a heart monitor that was beeping at a 40 beats per minute .
9858,a further seven months,a seven months,"It took a seven months for them to be restructured by him and someone at the Swiss bank , with a considerable chunk being transferred to another investment bank in the Cayman Islands ."
9859,a few thousand pounds,a thousand pounds,He 'd asked Dieter Muller to arrange for his account balance in the Swiss bank to be reduced to a thousand pounds and the rest transferred to his English current account .
9860,a few hundred years,a hundred years,"The advances brought about by human thought have made modern life so different from the way it was just a hundred years ago , that folks of those days might rightly have called us sorcerers or magicians , were we and a few of our many technologies to suddenly have appeared among them ."
9861,a few thousand years,a thousand years,How has it been possible for humans to discover and accomplish so much in just a thousand years ?
9862,a few thousand years,a thousand years,"Additional layers of mental ability will doubtless accrue as life continues to evolve : heightened empathy , intuitive - like jumps in comprehension , telepathy perhaps ; capabilities unimaginable today , as some of our current capabilities would have been unimaginable a thousand years ago ."
9863,a few thousand years,a thousand years,"The story of life would continue , and we would not even be missed , a thousand years into the future ."
9864,a few hundred years,a hundred years,"It is easy to understand why this must be so : to those living just a hundred years ago , people of this century would appear to have abilities approaching omnipotence ."
9865,a good twenty feet,a twenty feet,He watched repeatedly in his mind 's eye as the small white ball sailed a twenty feet beyond the fence .
9866,a few hundred yards,a hundred yards,"I have forgotten whether there were remnants of the cabin still left when we visited , but the old Caplinger Cemetery is located nearby on the banks of the creek a hundred yards west of where the cabin stood ."
9867,a mere two years,a two years,"I may have spoken too soon about your sterling education as you seem to believe that that a decade is a two years instead of 10 years usually ascribed to a generation , but I shall continue even with my doubts ."
9868,a good twenty years,a twenty years,"I had n't seen him in a twenty years , since high school ."
9869,an entire three months,an three months,"I had managed to hold on to a girlfriend for an three months , a record for me ."
9870,a few hundred feet,a hundred feet,The PLA flew additional planes only a hundred feet below the others to avoid radar .
9871,a good five miles,a five miles,"Look we 're a five miles away now , it 'll take them at least half an hour to catch up to us on foot ."
9872,a few hundred years,a hundred years,"God did n't want to revisit Adam and Eve after a hundred years , discover them on a barren planet , and hear them say "" Oh , we were supposed to do _ that _ ?"
9873,a balmy 70 degrees,a 70 degrees,"It was early December and , as usual , it was sunny and a 70 degrees in Vegas ."
9874,an extra ten minutes,an ten minutes,The next day I spend an ten minutes in the bathroom getting ready for school .
9875,an intense two weeks,an two weeks,"This is why it has been an two weeks , and why I have n't been able to contact you ."
9876,a few hundred years,a hundred years,"But this only lasted a hundred years , until more human discovered the forest and brought with them more men ."
9877,a good two minutes,a two minutes,"All I can do for a two minutes is stare at the thing outside our door , with only glass separating the beast from us ."
9878,a stressful two weeks,a two weeks,"On the Facebook page of the _ Wanganui Chronicle _ , she thanked the man and wrote , "" I have had a two weeks ."
9879,a further 1/4 kiosks,a 1/4 kiosks,"An hour later , a 1/4 kiosks would open — and so on ."
9880,a full 360 degrees,a 360 degrees,"Sandy - Grass spun slowly a 360 degrees , her frowning face under a shag of yellow - white hair , in a similar senior cut to Petunia - Glass , a hint feathered ."
9881,a few hundred feet,a hundred feet,"When we 're a hundred feet off the frothy deck , by the grace of God almighty you 'll hear these big boys fire to life again and deliver us a dry landing ."
9882,a good twenty miles,a twenty miles,"I was forced to admire the proficient aim of the hurlers , for we were making a twenty miles per hour along certain stretches of the narrow corridor ."
9883,a solid fifteen minutes,a fifteen minutes,"I sat still for a fifteen minutes , in complete acceptance of my fate resting with the growing group of men and their now heated exchange of opinions ."
9884,an stimulating thirty feet,an thirty feet,"Kamir cut the thrust and allowed our flight to level off at an thirty feet above the deck of dunes below . """
9885,a good ten hours,a ten hours,""" We 've got a ten hours or so before we get there ."
9886,a good twenty minutes,a twenty minutes,"I have to spend a twenty minutes trying to find socks for all of the kids , homework , school bags , and shoes ."
9887,a whole three minutes,a three minutes,I spent a three minutes looking it up on Goggle and maybe three hours rubbing the spot on my ankle like the instructions said .
9888,a full two pounds,a two pounds,"When she was born , Cadence weighed eight pounds and three ounces , almost a two pounds bigger than her sister ."
9889,an extra 15 pounds,an 15 pounds,I had an 15 pounds that were more attributed to Cheetoes and Mt. Dew than pregnancy .
9890,a few hundred times,a hundred times,"Sure , television viewing is a sedentary activity , but I have yet to see my kids sit through an entire program without bouncing off the furniture and walls a hundred times ."
9891,a whole ten years,a ten years,My baby is a ten years old and in fifth grade .
9892,a whole ten days,a ten days,"Finally , a ten days after her original due date , the doctor agrees to induce labor ."
9893,a full seven minutes,a seven minutes,"Cadence reappears in the living room , a seven minutes before the timer goes off and tells me , "" Okay Mom , I got my stuff . """
9894,a full six years,a six years,"My brother , Jason , is a six years older than I am ."
9895,a few hundred yards,a hundred yards,We followed the river for a hundred yards .
9896,a few hundred yards,a hundred yards,The four of them spent the better part of an hour hiking around the area within a hundred yards of the east side of the river .
9897,a few hundred feet,a hundred feet,"A lone car drove down a road a hundred feet away , heading west ."
9898,a mere two hours,a two hours,"If she travelled at constant speed , she could reach Garador in a two hours ."
9899,a paltry four carries,a four carries,That averaged out to a four carries a game for 23.7 yards so it is not as if he was killing teams running the ball .
9900,a paltry 154 yards,a 154 yards,"In a close game , Kaepernick needed to beat them throwing the ball but instead his last two drives ended on interceptions and he finished the game 14 of 24 for a 154 yards and 1 touchdown and 2 interceptions ."
9901,a staggering 10.2 yards,a 10.2 yards,He averaged a 10.2 yards a carry in his three 2012 playoff games .
9902,a few hundred pages,a hundred pages,""" It 's just a matter of reconciling a hundred pages of incorrect existentialist viewpoint with the incorrect viewpoint of ...... """
9903,a few hundred rupees,a hundred rupees,After that I decided to close the windows on the northern side of my bedroom and keep the windows in the library open for cross ventilation fearing that if the thieves got into upstairs sunshades then they could use a long pole and catch hold of my shirts and pants in whose pockets I used to have a hundred rupees always .
