idx,construction,corrupted_construction,corrupted_sentence
7694,a good thirty feet,a good thirty foot,There 's a huge chandelier beyond the foyer and a double set of spiral stairs reaching the second floor which must be a good thirty foot high .
7695,a mere four feet,a mere four foot,"It had been a mere four foot on its first holiday , but it was now closer to ten ."
7696,a mere 247 animals,a mere 247 animal,"From then until 1929 there were fifty - two introductions at various places up and down the country , totalling a mere 247 animal in all ."
7697,a long thirty seconds,a long thirty second,"After a long thirty second , they received word that it was the car ."
7698,a few hundred yards,a few hundred yard,"He thanked the waitress , left a three - dollar tip and began walking down Route 1 to the next bus stop which was only a few hundred yard away ."
7699,a few hundred yards,a few hundred yard,He looked back and saw the train a few hundred yard away at the airport station .
7700,a good forty minutes,a good forty minute,"For a good forty minute , he told almost the same story as the first time in the sports hall , with the only difference that now he did not stick spoons to himself and his speech was full of different obscure esoteric and medical terms ."
7701,a full two minutes,a full two minute,It took a full two minute of staring at them sternly for everyone to notice and quiet down .
7702,"an incredible 186,000 miles","an incredible 186,000 mile","Fifteen miles above the planet 's surface , where the air is thin and cold , these energy particles hurtle towards Earth 's skin at an incredible 186,000 mile per second ."
7703,an additional two months,an additional two month,""" That will give us an additional two month , gentlemen , "" the demon in the grey silk Armani suit smiled with his perfect row of even white teeth ; "" six months ."
7704,an unsuccessful eight hours,an unsuccessful eight hour,"It was exceptionally hot today already , a sweltering hundred and five and rising , already ten degrees warmer than the day before when Buzz had arrived to spend an unsuccessful eight hour trying to convince the struggling band of half - starved Christians to build a greenhouse ecosystem before the planet 's oxygen failed ."
7705,an additional 12 hours,an additional 12 hour,""" Two , "" the icon continued , either not hearing the man or choosing to ignore him ; "" If you complete the trip non - stop you will arrive at the pick - up site a day early , and then will have to sit there on the boat sucking up precious oxygen for an additional 12 hour while you await the children 's arrival ."
7706,an additional fifteen miles,an additional fifteen mile,"The crack that swallowed him went on to split the Vatican Palace and Vatican Museum in half , then continued through the city of Rome , wreaking havoc for an additional fifteen mile before ending its journey in Lago di Bracciano ."
7707,a few hundred or thousand years,a few hundred or thousand year,"Adjusting to such thin air would be akin to living somewhere high in the Andes or Himalayas ; but if the Incas and Sherpas had managed to adapt to such conditions over a few hundred or thousand year , so could they he 'd assured his wife and kids ."
7708,a mere two hours,a mere two hour,"After a mere two hour or so , cliff - tops rose from the east ."
7709,a good ten minutes,a good ten minute,"When they battled for a good ten minute or so , keeping Midna watching in clear amusement , the other Link leapt back , held up a hand , and shouted , "" Halt ! """
7710,a good six inches,a good six inch,"Melody stands beside him , but being that she is a good six inch shorter than him she is barely able to stable herself against the bumper without sitting on the hood . """
7711,a few billion years,a few billion year,"Just recently , no more than a few billion year ago , we did make an attempt to prevent the annihilation that we realized we were bringing upon ourselves ."
7712,a lonely 250 years,a lonely 250 year,"It has been a lonely 250 year , and it 's good to talk with people again ."
7713,a good six inches,a good six inch,Pete was shorter than Charley by a good six inch with blue eyes and brown hair topped by a battered Stetson .
7714,a few hundred men,a few hundred man,"Each camp , comprised of only a few hundred man , ran drills , and then sent small scout groups off toward Al'ber Que ."
7715,a few hundred years,a few hundred year,"He could n't remember because a few hundred year ago , the Dog had given up on humanity after they destroyed themselves and the world along with it ."
7716,a few hundred years,a few hundred year,The Dog had n't seen a working four - wheeler in a few hundred year .
7717,a few hundred soldiers,a few hundred soldier,"From atop the machicolation , Troll estimated a few hundred soldier had penetrated the empire ."
7718,a few hundred years,a few hundred year,"Another part of him , the cautious and paranoid part , born in fire and blood and a few hundred year of agony , whispered that it was also a good opportunity for failure ."
7719,a maximum twenty people,a maximum twenty person,"It usually held at a maximum twenty person , and only had three parking spaces ."
7720,a full two or three minutes,a full two or three minute,He sat there like that for a full two or three minute .
7721,a daunting five days,a daunting five day,"The unrelenting fury of the winds are whipping five million square kilometers of Southern Ocean into a boiling white froth as they rotate around the eyewall at an implausible 204 knots per hour , and while the _ Akademik Knipovich II _ is in the direct path of its hub , it 'll still take a daunting five day before it reaches them ."
7722,a slim 175 centimeters,a slim 175 centimeter,"He 's a slim 175 centimeter tall , and his skin is a shade darker than his wife , but his age is engraved on his sunken cheeks and arched eyebrows , and his receding black hair is brushed sideways across his head in a feeble attempt to cover the thin patch over the crown ."
7723,a steady seventy miles,a steady seventy mile,"Danny is driving south on route 101 at a steady seventy mile an hour , and debates on whether he should get off the freeway at Gilroy ."
7724,a good 5 minutes,a good 5 minute,"Roadkill mumbled with his normal lack of an ability to speak as he continued working upon her hindpaw , after a good 5 minute he was done and Viper curled her toes in delight she would have purred if she were a cat or panted if she were a dog , she however was a gerbil so she merely chittered ."
7725,a full 20 minutes,a full 20 minute,"In one study , the participants had cognitive compromise but were n't aware of the symptoms of hypoglycemia for a full 20 minute after cognitive impairment was present ( Evans et al . ,"
7726,a few hundred feet,a few hundred foot,"Within a few hundred foot , a small clearing opened before them ."
7727,a further two or three weeks,a further two or three week,After a further two or three week Petré 's grasp of the common tongue had progressed to the point where he was quite fluent in most subjects .
7728,a few thousand years,a few thousand year,But a few thousand year ?
7729,a few million litres,a few million litre,"But then it occurred to her that if the large door at the end of the hall was breached then a few million litre of water would flow into this area , so of course this large opening and tunnel with a stair going up the other end was a safety measure against flooding ."
7730,a good eight feet,a good eight foot,He was suddenly aware the cage had dropped a good eight foot .
7731,a good twenty yards,a good twenty yard,"She was n't aware she 'd wandered a good twenty yard along the dead train , until she stopped , surrounded by five of the Peacock 's gang like a mewling kitten trapped in the midst of snarling , slum dogs ."
7732,a mere two steps,a mere two step,"Jack 's agonized glare was of a crazed man teetering on the edge of the abyss , a mere two step from hell , but whether the look belonged to a lost soul or a raging demon Manjeet could n't decide ."
7733,an additional five brigands,an additional five brigand,""" S - sir , I beg to inform you that the men have located an additional five brigand , "" the young lieutenant stuttered , "" They appear to be loading saddlebags with gold and jewels and preparing for a hasty departure ."
7734,a good six inches,a good six inch,"She intended to make sure he did n't dwell on her feet , so her better high - heeled shoes would stand duty since he stood a good six inch taller than she , and perhaps the scandalous smoky silk stockings ."
7735,a good six months,a good six month,""" The letter on top 's been kicking around the country for a good six month , I 'm afraid ."
7736,a full three feet,a full three foot,It jumped a full three foot in surprise and bolted into the brush .
7737,a good three feet,a good three foot,"I backed away from him , allowing a good three foot between us . """
7738,a few hundred years,a few hundred year,""" Not for a few hundred year anyway , "" he admitted , still looking around the room . """
7739,a good two feet,a good two foot,The tree had to be a good two foot around .
7740,a good fifteen feet,a good fifteen foot,A hand appeared on his shoulder and ripped him off me with such force — his body went flying backward into a tree a good fifteen foot away .
7741,a good seven hours,a good seven hour,""" Oh , I 've had a good seven hour Miss , I 'll be just fine . """
7742,a good thirty feet,a good thirty foot,Marcus set me down gently a good thirty foot away .
7743,a good twenty feet,a good twenty foot,A sharp blow to the side knocked me a good twenty foot from where I 'd been standing .
7744,a smooth 74 degrees,a smooth 74 degree,The temperature was a smooth 74 degree and the air had an electricity about it that only L.A. could yield .
7745,a mild 82 degrees,a mild 82 degree,"The depth was around 25 feet , water clarity was a phenomenal 90 feet , and the water temperature was a mild 82 degree ."
7746,an additional three feet,an additional three foot,"Walk about ten feet past the light blue car , slowly drop a paper once you get past , and then walk an additional three foot before you drop more . """
7747,a whopping two weeks,a whopping two week,It says here that his battery life is a whopping two week !
7748,a short 10 feet,a short 10 foot,"After three blinding steps to the grass below , Jack picked up their pace to his vehicle , now a short 10 foot away ."
7749,an additional fifteen officers,an additional fifteen officer,Headquarters had approved the overtime to hire on an additional fifteen officer to patrol the area south of London .
7750,a good ten minutes,a good ten minute,"And I stood there for a good ten minute , frozen in place wondering if I should knock or just quietly get my own room ."
7751,an extra hundred bucks,an extra hundred buck,"Just put 'em out in the pool and tell the nanny you 'll pay her an extra hundred buck if they do n't drown . """
7752,a few hundred yards,a few hundred yard,Just a few hundred yard more and they 'd be able to ride on it if they wanted .
7753,a good fifty feet,a good fifty foot,"But just as I was leaving , a twig snapped within one of the fires and went flying through the air like a flaming pinwheel , landing in the middle of another brush pile that was a good fifty foot away ."
7754,a few thousand dollars,a few thousand dollar,We had a few thousand dollar saved that had been donated for a memorial to honor our daughter Barbara who was killed in the auto accident .
7755,a good fourteen centimeters,a good fourteen centimeter,"However , he was a good fourteen centimeter short ."
7756,a good nine kilometers,a good nine kilometer,It was a good nine kilometer away .
7757,a good ten meters,a good ten meter,"When they were a good ten meter away , the gunny opened fire ."
7758,a good fifteen meters,a good fifteen meter,"The chopper pilots watched in disbelief as the creature reached its apogee a good fifteen meter in the air , stretched out to its full length and then gracefully fell back down towards the earth ."
7759,a full three hours,a full three hour,Powell and Broussard waited outside of Fields 's office for a full three hour before his assistant ushered them in .
7760,a good two feet,a good two foot,"Not as tall as the old man or the jester , perhaps , but a good two foot on either of the boys ."
7761,a good ten minutes,a good ten minute,Then outside as I was crying it started pouring down rain hard for a good ten minute as I went outside in the rain to smoke one of my last cigarettes as I 'm quitting tomorrow and now I 'm back inside and writing this and not crying anymore and it 's not raining anymore .
7762,a difficult two days,a difficult two day,"It 's been a difficult two day for the President and the National Security Advisor since their impromptu meeting on Tuesday morning with Senator Stravinsky , the Chairman of the Joint Chiefs , and several other people ."
7763,an average six months,an average six month,"There 's a shortage of forensic scientists and equipment , labs take an average six month to analyse DNA , evidence corrupts easily and even when it does n't , results can be inconclusive or open to interpretation . '"
7764,a full ten seconds,a full ten second,"Carl waited a full ten second before saying , ' Do you believe he was capable of murdering Siobhan ? '"
7765,a full thirty seconds,a full thirty second,Again the agent 's eyes narrowed as he studied her for a full thirty second .
7766,an entire two months,an entire two month,"While Herb slaved away at his computer for an entire two month , he grew ever more frustrated at his inability to achieve even the slightest success toward his goal ."
7767,a mere two hours,a mere two hour,"The final systems ' analyses were completed with a mere two hour to spare before the event 's scheduled start , leaving just enough time for Frank and Bud to run through a pre - unveiling checklist ."
7768,a further sixteen months,a further sixteen month,"In spite of nurturing a great desire for Kaabah to be the new direction of worship , the Blessed Prophet ( s.a.s ) nevertheless was made to wait a further sixteen month after the Hegira , which saw the relevant Revelation arrive ."
7769,a further three days,a further three day,Remaining in close vicinity to the battlefield for a further three day after a given victory was something practiced by the Blessed Prophet ( s.a.s ) .
7770,a good two or three metres,a good two or three metre,"Unfortunately , the gap in the wall was a good two or three metre away , so Mrs. Fat 's foot had several more attempts to squash me into the carpet ."
7771,a good three years,a good three year,"I could n't have been more than a few months old , and my father and mother had been together for a good three year ."
7772,a good ten minutes,a good ten minute,There was nothing but darkness and silence for a good ten minute .
7773,a few hundred years,a few hundred year,"Well , there 're no real legends , as the book has only existed for a few hundred year ."
7774,a good four inches,a good four inch,"Larry was a good four inch taller than his own five feet ten , and he was broader and bulkier too ."
7775,a whole sixty minutes,a whole sixty minute,""" That 's a whole sixty minute from home , "" Larry pointed out ."
7776,a solid eight hours,a solid eight hour,"But after a solid eight hour of sleep and a gallon of coffee , I want to get back to normal . """
7777,a mere twenty minutes,a mere twenty minute,"If one were reading a brochure describing Bowen Island off the Vancouver coast , it would tell this small blob on the map was a mere twenty minute away from the port of Horseshoe Bay , and its craggy landscape only allowed for a few clustered houses to be built along the shores or in the more accessible meadows ."
7778,a good ten seconds,a good ten second,I had a good ten second to stare at its teeth .
7779,a whopping 300 residents,a whopping 300 resident,"In the 2010 census , Top - of - the - World boasted a whopping 300 resident ."
7780,a fashionable ten minutes,a fashionable ten minute,Patroon was buzzing when Kate arrived a fashionable ten minute late .
7781,a packed two weeks,a packed two week,It was going to be a packed two week .
7782,an interminable five minutes,an interminable five minute,She sent him an urgent text message and waited an interminable five minute for him to respond .
7783,a quick and deliberate two inches,a quick and deliberate two inch,"It had come about because of his surgical technique , using his well - honed boning knife , to deliver a quick and deliberate two inch long slice to the skin on the forearm of fellow employees ."
7784,a good ten minutes,a good ten minute,She rattled on for a good ten minute .
7785,a good hundred pounds,a good hundred pound,"The ball ricocheted off of Burt 's shin and out of bounds , and everyone expected the same fate for Lucas , who was a good hundred pound lighter than Burt ."
7786,a few hundred yards,a few hundred yard,"Lucas heard frantic barking a few hundred yard away , and sprinted towards the sound , keeping a constant stream of talk up , hoping that Ava would not slip back into unconsciousness . """
7787,a few hundred years,a few hundred year,But I 'd be willing to stake a few hundred year on it .
7788,a safe ten yards,a safe ten yard,"On the other side of the garden , and a safe ten yard away , Greta was sitting , patiently waiting for us ."
7789,a good five years,a good five year,"We have had a good five year together , you and I , have we not ? '"
7790,a few hundred notes,a few hundred note,"I tell myself : Bertram old bean , you play ten thousand notes in an hour at the Clarion Club and you 're happy as Larry , what 's a few hundred note with a couple of songs thrown in , in ten minutes here ?"
7791,a good two weeks,a good two week,I have n't smoked for a good two week now .
7792,a mere three miles,a mere three mile,"In 1970 there were 65 villas on the island , itself a mere three mile by five , and when newcomers arrived the Company would round up the occupants of the nearest half dozen or so villas ."
7793,a full sixty seconds,a full sixty second,I swear it takes at least a full sixty second before I hear him clear his throat .
7794,a good five or six miles,a good five or six mile,But she 'd been a good five or six mile out of the village ; she obviously could n't be that unhealthy .
7795,a few hundred dollars,a few hundred dollar,"Still I managed to spend a few hundred dollar today , if you count the dentist ."
7796,a wonderful four days,a wonderful four day,"Still , it was a wonderful four day , during which I spent considerable time in flow , oblivious to everything but the task before me ."
7797,a massively challenging six words,a massively challenging six word,"What a massively challenging six word out of the heart of our Shepherd , the magnitude of which is further clarified , magnified , and enhanced , with this from Jesus statement : "" Love others as I have loved you "" ."
7798,an additional two doors,an additional two door,"Besides the door through which they had walked , there were an additional two door marked Omphalos and several other doors all labeled with the names of towns that Will did not recognize ."
7799,a good hundred feet,a good hundred foot,she said derisively as she began running to her tree base a good hundred foot from the hill .
7800,a good ten feet,a good ten foot,He motioned for the other three riflemen to keep their gun - sights on the group while he walked back a good ten foot .
7801,a good six months,a good six month,"( That 's right , honey ... It calls for maximum flexibility and reach maneuvers ... We worked on your flexibility alone for a good six month before even learning the basic moves ... )"
7802,a few thousand miles,a few thousand mile,A boy whose older sister and protector was a few thousand mile away .
7803,a good six kicks,a good six kick,But she stopped after a good six kick to each when she noticed that her hand was bleeding too much .
7804,a few hundred yards,a few hundred yard,I found myself happy that Wapama Falls was only a few hundred yard further on .
7805,a full five minutes,a full five minute,I waited a full five minute behind the rock and then slowly peered around the sides back down the trail .
7806,a good two hours,a good two hour,"He reasoned that whoever they were , they had been there right about daybreak , which would put them a good two hour ahead of us ."
7807,a good twenty minutes,a good twenty minute,"We talked for a good twenty minute , with the men telling their story of the past several days ."
7808,a full thirty seconds,a full thirty second,"We waited a full thirty second , and then Bull decided to check to see if the demon was still alive before he popped up himself ."
7809,a good twenty minutes,a good twenty minute,The demon had been out of our sight for a good twenty minute as we made our climb .
7810,a few hundred feet,a few hundred foot,"If we were able to approach from the far side , we could work our way into a good viewing position only a few hundred foot below their base ."
7811,a good two minutes,a good two minute,"It was n't until after a good two minute had passed , with them both kicking and cursing , that they had finally calmed down ."
7812,an extra fifty dollars,an extra fifty dollar,""" Since you helped me today , I 'll give you an extra fifty dollar . """
7813,a chilly 53 degrees,a chilly 53 degree,"At midnight , it was a chilly 53 degree ."
7814,a full two minutes,a full two minute,It took him a full two minute to get himself under control .
7815,a good thirty minutes,a good thirty minute,Reeve had been waiting for a good thirty minute when he heard her at the top of the staircase .
7816,a good twenty feet,a good twenty foot,"It had to be a good twenty foot long , sleek and shiny ."
7817,a good six feet,a good six foot,"The man towered a good six foot tall , even though he was leaning over just slightly , weight on the walking stick ."
7818,a good five miles,a good five mile,"It 's a good five mile out to the Brand farm . """
7819,a good ten minutes,a good ten minute,After a good ten minute she got out and headed to her closet to find her outfit for the night .
7820,a good ten minutes,a good ten minute,After chilling on the hood for a good ten minute he saw some his boys chilling so he headed their way .
7821,a good fifteen minutes,a good fifteen minute,"After a good fifteen minute of silence Ryan finally spoke . """
7822,a good two minutes,a good two minute,For a good two minute King just stood at the door watching Ryan .
7823,a good two months,a good two month,It was like whenever she saw King her kitty had a mind of its own and it had been a good two month since she 'd had any .
7824,a good two hours,a good two hour,""" I 've been sitting here playing the Wii with my nephew for a good two hour but you looked as if you needed that nap . """
7825,a good eleven inches,a good eleven inch,King sped up and she took that shit like a pro considering he was a good eleven inch and thick .
7826,an extra ten minutes,an extra ten minute,Only let Jilly stay up an extra ten minute if she wants to wait for him to call back .
7827,a good five months,a good five month,"Most of the population lived off the island all winter , which in Michigan was a good five month of the year ."
7828,a good fifty pounds,a good fifty pound,Surely no one in Somerset Falls would even recognize her now that her hair had gone completely white and she had put on a good fifty pound .
7829,a good six feet,a good six foot,"He bulks up , standing a good six foot , and looks down at Miles ."
7830,a solid five minutes,a solid five minute,These fifteen seconds feel like a solid five minute .
7831,a good five inches,a good five inch,Dominic has a good five inch and probably twenty pounds of muscle on A.J. But I think A.J. could take him .
7832,a few hundred bucks,a few hundred buck,"After a ten minute drive and Colby 's less - than - exciting story of how he simply paid a few hundred buck and had his name changed with no hassle , he turns onto a street in the middle of a suburb ."
7833,a long six months,a long six month,It 's been a long six month !
7834,a good thirty minutes,a good thirty minute,"Cassie was amazed at how many there were , she never saw anything like it , and she and Jack stood and watched them for a good thirty minute ."
7835,a full ten seconds,a full ten second,His stared at it from across the room for a full ten second before it sank in that his brother had written back from Camp Pendleton .
7836,a full ten yards,a full ten yard,"If you give me the ball at the A - gap I bet I could take it a full ten yard more downfield . """
7837,a full three steps,a full three step,So Wade hit him in the chest a full three step after he had already released the ball downfield .
7838,a few thousand patients,a few thousand patient,"Five years ago , chemotherapy cured just a few thousand patient annually ."
7839,a good four miles,a good four mile,It was still a good four mile to the Eternal Lights Cemetery and it was already after six .
7840,a few hundred dollars,a few hundred dollar,"The old curmudgeon had come west with a few hundred dollar in search of the American dream and also to escape the wrath of New York City 's Irish mobs , whom he had somehow managed to offend ."
7841,a full six inches,a full six inch,"Judith stood and gazed up at Ashcott - Saddler , who was a full six inch taller ."
7842,a uniform five feet,a uniform five foot,These trails were a uniform five foot in width and surfaced with packed chip and dust .
7843,a full six inches,a full six inch,"Worse still , the rain began to fall in great torrential sheets , bouncing back into the air a full six inch on impact ."
7844,a full 6 feet,a full 6 foot,"At the Eastern and Western corners of the northern perimeter , two security cameras had been mounted on steel rods that extended a full 6 foot above the fence top ."
7845,a full four feet,a full four foot,"Huge black flowers bloomed in Maria 's skull , occluding her vision as her devastated cruiser leapt a full four foot into the air , before crashing back to the pavement with bone jarring impact ."
7846,a full two inches,a full two inch,"The force of her swing drove the blade a full two inch into the floor boards , severing the catalyst tube in the process ."
7847,a full three feet,a full three foot,She watched in dark fascination as the roof of Jeniah 's shrine leapt a full three foot into the night sky .
7848,a few hundred yards,a few hundred yard,A very small line ran up the face of the bluff a few hundred yard east of the cave .
7849,an extra ten meters,an extra ten meter,It was very different walking in the forest now that there was an extra ten meter of tree above him .
7850,a good two days,a good two day,"After a good two day of long scenarios , Keelic tromped through the undergrowth thinking with his friend how they would be able to take the planet they were trying to assault ."
7851,a good fifty pounds,a good fifty pound,The woman had a good fifty pound of solid muscle on Street .
7852,a full five minutes,a full five minute,Jim and Geraint had stared at each other for a full five minute whilst the enormity of what they had discovered sank in .
7853,a further ten minutes,a further ten minute,He waited a further ten minute before opening the door .
7854,an anxious five minutes,an anxious five minute,"They waited an anxious five minute before the other vessel slowly started accelerating away , changing to a course that would take it behind them ."
7855,a crucial two seconds,a crucial two second,The expanding invisible cloud from _ Eclipse _ took a crucial two second to reach out to the range of the fighters .
7856,a few thousand kilometres,a few thousand kilometre,The surface temperature just a few thousand kilometre down was over six thousand degrees .
7857,a mere fifteen kilometres,a mere fifteen kilometre,The SuperCobra burst into real space a mere fifteen kilometre from the marker .
7858,a measly 49152 bytes,a measly 49152 byte,"One thing that never ceases to amaze me is the strength of feeling that surrounds the original ' Elite ' game , a game that simulated an entire universe within a measly 49152 byte of assembly code ( less on many versions ) ."
7859,a good ten days,a good ten day,"It has been a good ten day , Master . """
7860,a further three flights,a further three flight,"They were about to ascend a further three flight of stairs when they were alerted by Morgan de Avene , concern creasing the archer 's face as he raced to their side ."
7861,a further hundred pigs,a further hundred pig,"And , I dare say , ' she joked , ' that the king 's execution will fair whet our appetite ; best we summon up a further hundred pig to add to the roast ! '"
7862,a full two steps,a full two step,"Before he could move a full two step a quick gesture called for him to stop . """
7863,a full five hours,a full five hour,London was a full five hour ahead .
7864,a full three days,a full three day,She 'd been going out of her mind for a full three day before it came out .
7865,a powerful two minutes,a powerful two minute,"Mullis 's testimony had taken less than two minutes ; but still , it was a powerful two minute , even if it appeared that Mullis was n't being too accommodating ."
7866,a good two months,a good two month,"She was still a good two month from turning sixteen , but she 'd taken the necessary tests the first day she was allowed , three months to the day before her birthday — this was one of the first things she told me about herself , a demonstration to prove just how much she hated living in the suburbs . ( """
7867,a couple thousand people,a couple thousand person,"I know it was a small town , but there were still a couple thousand person there ."
7868,a good ten seconds,a good ten second,More earthquake effects and ground shaking ; I reckon it took a good ten second for this round of shimmering to clear .
7869,a good thirty years,a good thirty year,"An upright piano , which looks like it 's a good thirty year old , sits against the far right wall . """
7870,a nice steady 110 beats,a nice steady 110 beat,"Once we have about a dozen little bits in each container , I shake them to see what kind of noise they make , at a nice steady 110 beat per minute . _"
7871,a few hundred bucks,a few hundred buck,"If it 's gone more than one extra day , they charge me the full price of the bike , which is a few hundred buck ."
7872,a good two hours,a good two hour,""" You were conked out a good two hour , "" Renate says . """
7873,a full three weeks,a full three week,"Edward stayed for a full three week , which was a longer leave of absence than he 'd been granted by his Colonel ."
7874,"an additional 97,000 words","an additional 97,000 word","If I had that 130 hours back to write , I could have cranked out an additional 97,000 word ."
7875,a good four inches,a good four inch,Vanessa Bowen is taller than Joanna by a good four inch but then Joanna 's only about five three so that 's not saying so much Vanessa is built with a kind of solid curvy elegance though Joanna hates that word curvy it feels condescending but in this case it 's too accurate not to use she has the body type of one of those old Rococo paintings she is all strength and shape a strong nose and a strong chin and her brown eyes are bright almost eerily bright her mouth is soft her lips are full .
7876,a couple hundred copies,a couple hundred copy,"She probably only ever sold a couple hundred copy , if that ."
7877,a full two feet,a full two foot,His muscles expand exponentially while his head lengthens and he grows a full two foot taller .
7878,a few thousand years,a few thousand year,"What I do know is that they predate recorded history by at least a few thousand year . """
7879,a few hundred yards,a few hundred yard,"He simply points his finger towards a heavily guarded door a few hundred yard away . """
7880,a mere six months,a mere six month,"Although that hasty marriage was explained when a daughter was born into the marriage a mere six month later , only for the new duchess to then succumb to a fever and die when Amelia was still a baby ."
7881,a long two minutes,a long two minute,"We waited in silence , the only sound that of Jessica continuing to chew her gum , it was a long two minute before George finally arrived ."
7882,a meager ten feet,a meager ten foot,The shadow of his pillar had shrunk from all the way across the river to a meager ten foot .
7883,a good ten minutes,a good ten minute,I crossed over to the new bus stop and sweated a good ten minute before one of the shiny new conveyances rolled up to the stop in a sooty cloud of exhaust .
7884,a good five minutes,a good five minute,"He was gone a good five minute , a frightfully long time to be left in Bertha 's presence ."
7885,a much narrower 38 feet,a much narrower 38 foot,"The computer - operated wings of the Tomcat could adjust in flight , changing the width of the fighter from 64 feet at takeoff to a much narrower 38 foot in high - speed flight and combat ."
7886,an additional thirty miles,an additional thirty mile,"Those few thoughts took only milliseconds , during which time the SR-71 traveled an additional thirty mile ."
7887,an additional billion dollars,an additional billion dollar,Even now Congress is quickly approving an additional billion dollar so all the poor will be equipped with the new television receivers so they can be entertained at government expense or in reality the taxpayers ' dollars .
7888,a good thirty seconds,a good thirty second,I dropped the phone in my lap and pulled faces at it for a good thirty second .
7889,a long six months,a long six month,"Six months , a long six month , until the message had finally arrived . '"
7890,an apparent fifty pounds,an apparent fifty pound,"Dress the same man in an oversized pair of baggy jeans and add an apparent fifty pound of excess weight , however , and all anyone sees is a fat slob ."
7891,a good ten minutes,a good ten minute,"I parked up with one wheel hanging over a deep ditch while we howled uncontrollably for a good ten minute , tears streaming down our cheeks ."
7892,a few million bucks,a few million buck,""" You have a few million buck in your back pocket I do n't know about ? """
7893,a good six inches,a good six inch,"He towered over the teenage boy by a good six inch . """
7894,a long two miles,a long two mile,It was going to be a long two mile .
7895,a mere four bites,a mere four bite,"Mr. Johnson finished his plain slice of bread in a mere four bite , stood , walked up to his wife who was seated at the table , and kissed her gently on the lips ."
7896,a good twenty minutes,a good twenty minute,It seemed that Kate and Ben had been watching out for their arrival for a good twenty minute before they were due and were ecstatic when they heard the sound of the pony and cart on the bridle path .
7897,a full five days,a full five day,"He had n't been answering her phone calls for a full five day , but that was no reason to blurt it out like a recalcitrant teenager ."
7898,a few thousand people,a few thousand person,"Underneath , a few thousand person were enjoying the unique experience of a summer night on a livelier section of Cape Shell 's boardwalk ."
7899,a good ten minutes,a good ten minute,He drove down the highway a good ten minute before pulling off the road .
7900,a good ten pounds,a good ten pound,Prin was sure she 'd already gained a good ten pound and they had only made it to half the vendors and stands .
7901,a good five minutes,a good five minute,She waited a good five minute for her stomach to settle .
7902,a good ten minutes,a good ten minute,Prin waited a good ten minute before stepping out the room .
7903,a long 24 hours,a long 24 hour,It will be a long 24 hour for all of us .
7904,a mere hundred dollars,a mere hundred dollar,"One may , of course , object that it is not realistic to think that we could prevent so much suffering by giving away a mere hundred dollar ."
7905,a mere four to six weeks,a mere four to six week,"As London 's poor looked on , as paradoxically most such homes were occupied a mere four to six week a year by their owners , who not satisfied with their magnificent properties , invested in expanding them downwards : iceberg homes , and not only beneath the house itself , but also under the garden and outbuildings , with the addition of ultramodern kitchens , garages , gymnasiums , cinemas and even swimming pools ."
7906,a few million pounds,a few million pound,From an initial investment of a few million pound its capital had grown two billion over the course of five years with assets under management exceeding five billion .
7907,a few hundred miles,a few hundred mile,"Whilst Liam Clancy was discovering the charm of Bocas del Toro , Tom Barton listened to Don Pedro a few hundred mile to the south at the family hacienda in Barichara ."
7908,an astonishing ten times,an astonishing ten time,"Ireland 's shadow banking system controlled assets worth an astonishing ten time the value of its gross national product , that is the total value of all its goods and services produced in a single year ."
7909,a few hundred years,a few hundred year,"Fiat currencies have only been around for a few hundred year , and the vast majority of them are already gone and forgotten ."
7910,"an official 2,000 tons","an official 2,000 ton","Remember that China 's gold reserves suddenly went from an official 2,000 ton to almost 10,000 tons . """
7911,an exciting and memorable ten days,an exciting and memorable ten day,This will be an exciting and memorable ten day .
7912,a short 2 miles,a short 2 mile,"Jack decided they should dine off campus so he had set up a reservation at the quaint Norwich Inn , a short 2 mile from campus on the Vermont side of the Connecticut River ."
7913,a staggering 2.5 kilometres,a staggering 2.5 kilometre,"In the same scale of measurement , the tail - like neurone would measure a staggering 2.5 kilometre !"
7914,a good 4 hours,a good 4 hour,I yelled at Howard for a good 4 hour into the wee hours of the morning .
7915,a few hundred metres,a few hundred metre,"At the other end of the lane , only a few hundred metre away she could see the beach promenade where vacationers could saunter in the evening heat and soak up the atmosphere ."
7916,a few hundred yards,a few hundred yard,The plane slowed after a few hundred yard then taxied off the runway and came to rest not far from the two - storey control tower .
7917,a few hundred yards,a few hundred yard,She looked over the side and saw the coast only a few hundred yard away .
7918,a few hundred metres,a few hundred metre,"The four - engined plane carrying Nancy , Adima and Jimoh Bah was just a few hundred metre off his side ."
7919,a difficult and potentially dangerous three months,a difficult and potentially dangerous three month,It had been a difficult and potentially dangerous three month .
7920,a fantastic three nights,a fantastic three night,"The Los Angeles shows were over before we knew it , but it had been a fantastic three night ."
7921,a good ten feet,a good ten foot,Once we were a good ten foot from the bus she started speaking .
7922,a whole seven seconds,a whole seven second,"Without waiting for her answer , he swooped down and kissed her , pressing his body against hers for a whole seven second before vanishing ."
7923,a whole whopping five hours,a whole whopping five hour,"If I slept until 6 , that would mean I would get a whole whopping five hour of sleep tonight , provided I fell into a bed and immediately was claimed by sleep within the next five minutes , anyway ."
7924,a mere thousand dollars,a mere thousand dollar,"Surely those government plans are more important than a mere thousand dollar , or even someone 's life . """
